key,text,tag,file,type
ASF_XStacks,{0} stacks,ASF_XStacks,Keys.xml,keyed
ASF_Empty,empty,ASF_Empty,Keys.xml,keyed
ASF_MapFilled,You have filled the map.,ASF_MapFilled,Keys.xml,keyed
ASF_SettingContentsTabSelection,Contents tab to display on adaptive storage buildings:,ASF_SettingContentsTabSelection,Keys.xml,keyed
ASF_SettingContentsTabDescription,That's the tab saying 'Contents' on the bottom left panel with a building selected. 'None' displays contents in the vanilla way through 'Select x' gizmos on the bar to the right instead of tab.,ASF_SettingContentsTabDescription,Keys.xml,keyed
ASF_MaxNumStacks,maximum number of stacks per cell,ASF_MaxNumStacks,Keys.xml,keyed
ASF_MaxNumStacksDesc,The maximum number of stacks that can go in a single space.  Buildings two-cells large will have twice as much storage capacity.\n\nNote that other factors may reduce storage capacity.,ASF_MaxNumStacksDesc,Keys.xml,keyed
ASF_DropSpecificCount,Drop specific count,ASF_DropSpecificCount,Keys.xml,keyed
ASF_TotalStorageCapacity,total storage capacity,ASF_TotalStorageCapacity,Keys.xml,keyed
ASF_StorageCapacityDescriptionCustomized,The maximum number of stacks fitting into this storage building for all cells combined.\n\n{sizeX} * {sizeZ} cells with individually set capacities.,ASF_StorageCapacityDescriptionCustomized,Keys.xml,keyed
ASF_StorageCapacityDescriptionStacksPerCell,The maximum number of stacks fitting into this storage building for all cells combined.\n\n{sizeX} * {sizeZ} cells with a maximum capacity of {maxItemsInCell} stacks per cell.,ASF_StorageCapacityDescriptionStacksPerCell,Keys.xml,keyed
ASF_AutomaticallyOpenContentsTab,Automatically open contents tab,ASF_AutomaticallyOpenContentsTab,Keys.xml,keyed
ASF_AutomaticallyOpenContentsTabDescription,"Selecting a storage building automatically opens its Contents tab with this enabled, or storage settings when empty.",ASF_AutomaticallyOpenContentsTabDescription,Keys.xml,keyed
ASF_HideLabelsZoomSetting,Hide labels when zoomed out,ASF_HideLabelsZoomSetting,Keys.xml,keyed
ASF_HideLabelsZoomDescription,"Affects labels shown on the map, like [ count ] or Item xY. Only show them at a close zoom level when enabled.",ASF_HideLabelsZoomDescription,Keys.xml,keyed
ASF_HideLabelsMouseOverSetting,Hide labels until mouseover,ASF_HideLabelsMouseOverSetting,Keys.xml,keyed
ASF_HideLabelsMouseOverDescription,"Affects labels shown on the map, like [ count ] or Item xY. Only show them when pointed at with the mouse when enabled. Overridden by the Toggleable Overlays mod when having that mod enabled.",ASF_HideLabelsMouseOverDescription,Keys.xml,keyed
ASF_DefaultLabelStyleSetting,Default label style,ASF_DefaultLabelStyleSetting,Keys.xml,keyed
ASF_DefaultLabelStyleDescription,What to display for storage labels on the map. Individual buildings can override this in their config.,ASF_DefaultLabelStyleDescription,Keys.xml,keyed
ASF_MaxZoomLevelSetting,Maximum zoom level,ASF_MaxZoomLevelSetting,Keys.xml,keyed
ASF_MaxZoomLevelDescription,The maximum zoom level to show labels for. They get hidden past this point.,ASF_MaxZoomLevelDescription,Keys.xml,keyed
ASF_OtherItems,Other items,ASF_OtherItems,Keys.xml,keyed
Automatic.label,Automatic,label,AdaptiveStorage.ContentLabelStyleDef/AdaptiveStorage.ContentLabelStyleDef.xml,def
Automatic.description,"Automatically choose between item names getting displayed with their count when hidden and count only when having visible contents, either directly or through the building only accepting one kind",description,AdaptiveStorage.ContentLabelStyleDef/AdaptiveStorage.ContentLabelStyleDef.xml,def
