key,text,tag,file,type,protected_text
BA.Free,Free,BA.Free,Keys.xml,keyed,Free
BA.GroupByTechLevel,Group by Tech Level,BA.GroupByTechLevel,Keys.xml,keyed,Group by Tech Level
BA.MenuHeight,Menu height,BA.MenuHeight,Keys.xml,keyed,Menu height
BA.HideOnSelection,Hide on building selection,BA.HideOnSelection,Keys.xml,keyed,Hide on building selection
BA.HideOnSelectionTooltip,"When building is selected, fully hide the menu.",BA.HideOnSelectionTooltip,Keys.xml,keyed,"When building is selected, fully hide the menu."
BA.RememberSubcategory,Remember subcategory,BA.RememberSubcategory,Keys.xml,keyed,Remember subcategory
BA.RememberSubcategoryTooltip,"When enabled, the mod will remember the last selected subcategory for each main category. When disabled, it will always default to the first subcategory.",BA.RememberSubcategoryTooltip,Keys.xml,keyed,"When enabled, the mod will remember the last selected subcategory for each main category. When disabled, it will always default to the first subcategory."
BA.UseSpecialFloorsTab,Use custom floor menu,BA.UseSpecialFloorsTab,Keys.xml,keyed,Use custom floor menu
BA.UseSpecialFloorsTabTooltip,"Whether the menu should use subcategories for each material, or be more broadly sorted. (WIP)",BA.UseSpecialFloorsTabTooltip,Keys.xml,keyed,"Whether the menu should use subcategories for each material, or be more broadly sorted. (WIP)"
BA.Default,Default,BA.Default,Keys.xml,keyed,Default
BA.Label,Label,BA.Label,Keys.xml,keyed,Label
BA.Beauty,Beauty,BA.Beauty,Keys.xml,keyed,Beauty
BA.Comfort,Comfort,BA.Comfort,Keys.xml,keyed,Comfort
BA.Value,Value,BA.Value,Keys.xml,keyed,Value
BA.WorkToBuild,Work to build,BA.WorkToBuild,Keys.xml,keyed,Work to build
BA.Health,Health,BA.Health,Keys.xml,keyed,Health
BA.Cleanliness,Cleanliness,BA.Cleanliness,Keys.xml,keyed,Cleanliness
BA.SkillRequired,Skill required,BA.SkillRequired,Keys.xml,keyed,Skill required
BA.Flammability,Flammability,BA.Flammability,Keys.xml,keyed,Flammability
BA.CoverEffectiveness,Cover effectiveness,BA.CoverEffectiveness,Keys.xml,keyed,Cover effectiveness
BA.MaxPowerOutput,Max power output,BA.MaxPowerOutput,Keys.xml,keyed,Max power output
BA.PowerConsumption,Power consumption,BA.PowerConsumption,Keys.xml,keyed,Power consumption
BA.RecreationPower,Recreation power,BA.RecreationPower,Keys.xml,keyed,Recreation power
BA.MoveSpeed,Move speed,BA.MoveSpeed,Keys.xml,keyed,Move speed
BA.TotalStorageCapacity,Total storage capacity,BA.TotalStorageCapacity,Keys.xml,keyed,Total storage capacity
BA.DoorOpeningSpeed,Door opening speed,BA.DoorOpeningSpeed,Keys.xml,keyed,Door opening speed
BA.WorkSpeedFactor,Work speed factor,BA.WorkSpeedFactor,Keys.xml,keyed,Work speed factor
