key,text,tag,file,type
EnterZGrave.reportString,entering grave.,reportString,JobDef/JobDef.xml,def
SZHumanSize_05.label,bodysize05,label,LifeStageDef/LifeStageDef.xml,def
SZHumanSize_06.label,bodysize06,label,LifeStageDef/LifeStageDef.xml,def
SZHumanSize_07.label,bodysize07,label,LifeStageDef/LifeStageDef.xml,def
SZHumanSize_08.label,bodysize08,label,LifeStageDef/LifeStageDef.xml,def
SZHumanSize_09.label,bodysize09,label,LifeStageDef/LifeStageDef.xml,def
SZHumanSize_10.label,bodysize10,label,LifeStageDef/LifeStageDef.xml,def
SZHumanSize_11.label,bodysize11,label,LifeStageDef/LifeStageDef.xml,def
SZHumanSize_12.label,bodysize12,label,LifeStageDef/LifeStageDef.xml,def
SZHumanSize_13.label,bodysize13,label,LifeStageDef/LifeStageDef.xml,def
SZHumanSize_14.label,bodysize14,label,LifeStageDef/LifeStageDef.xml,def
SZHumanSize_15.label,bodysize15,label,LifeStageDef/LifeStageDef.xml,def
SZHumanSize_16.label,bodysize16,label,LifeStageDef/LifeStageDef.xml,def
SZHumanSize_17.label,bodysize17,label,LifeStageDef/LifeStageDef.xml,def
SZHumanSize_18.label,bodysize18,label,LifeStageDef/LifeStageDef.xml,def
SZHumanSize_19.label,bodysize19,label,LifeStageDef/LifeStageDef.xml,def
SZHumanSize_20.label,bodysize20,label,LifeStageDef/LifeStageDef.xml,def
SZHumanSize_30.label,bodysize30,label,LifeStageDef/LifeStageDef.xml,def
SZHumanSize_40.label,bodysize40,label,LifeStageDef/LifeStageDef.xml,def
SZSpecial.label,special,label,GeneCategoryDef/GeneCategoryDef.xml,def
SZBodySize_05.label,Bodysize 05,label,GeneDef/GeneDef.xml,def
SZBodySize_05.description,50%,description,GeneDef/GeneDef.xml,def
SZBodySize_06.label,Bodysize 06,label,GeneDef/GeneDef.xml,def
SZBodySize_06.description,60%,description,GeneDef/GeneDef.xml,def
SZBodySize_07.label,Bodysize 07,label,GeneDef/GeneDef.xml,def
SZBodySize_07.description,70%,description,GeneDef/GeneDef.xml,def
SZBodySize_08.label,Bodysize 08,label,GeneDef/GeneDef.xml,def
SZBodySize_08.description,80%,description,GeneDef/GeneDef.xml,def
SZBodySize_09.label,Bodysize 09,label,GeneDef/GeneDef.xml,def
SZBodySize_09.description,90%,description,GeneDef/GeneDef.xml,def
SZBodySize_10.label,Bodysize 10,label,GeneDef/GeneDef.xml,def
SZBodySize_10.description,100%,description,GeneDef/GeneDef.xml,def
SZBodySize_11.label,Bodysize 11,label,GeneDef/GeneDef.xml,def
SZBodySize_11.description,110%,description,GeneDef/GeneDef.xml,def
SZBodySize_12.label,Bodysize 12,label,GeneDef/GeneDef.xml,def
SZBodySize_12.description,120%,description,GeneDef/GeneDef.xml,def
SZBodySize_13.label,Bodysize 13,label,GeneDef/GeneDef.xml,def
SZBodySize_13.description,130%,description,GeneDef/GeneDef.xml,def
SZBodySize_14.label,Bodysize 14,label,GeneDef/GeneDef.xml,def
SZBodySize_14.description,140%,description,GeneDef/GeneDef.xml,def
SZBodySize_15.label,Bodysize 15,label,GeneDef/GeneDef.xml,def
SZBodySize_15.description,150%,description,GeneDef/GeneDef.xml,def
SZBodySize_16.label,Bodysize 16,label,GeneDef/GeneDef.xml,def
SZBodySize_16.description,160%,description,GeneDef/GeneDef.xml,def
SZBodySize_17.label,Bodysize 17,label,GeneDef/GeneDef.xml,def
SZBodySize_17.description,170%,description,GeneDef/GeneDef.xml,def
SZBodySize_18.label,Bodysize 18,label,GeneDef/GeneDef.xml,def
SZBodySize_18.description,180%,description,GeneDef/GeneDef.xml,def
SZBodySize_19.label,Bodysize 19,label,GeneDef/GeneDef.xml,def
SZBodySize_19.description,190%,description,GeneDef/GeneDef.xml,def
SZBodySize_20.label,Bodysize 20,label,GeneDef/GeneDef.xml,def
SZBodySize_20.description,200%,description,GeneDef/GeneDef.xml,def
SZBodySize_30.label,Bodysize 30,label,GeneDef/GeneDef.xml,def
SZBodySize_30.description,300%,description,GeneDef/GeneDef.xml,def
SZBodySize_40.label,Bodysize 40,label,GeneDef/GeneDef.xml,def
SZBodySize_40.description,400%,description,GeneDef/GeneDef.xml,def
