key,text,tag,file,type,protected_text
VisibilityTogglesDesc,Select layers to hide,VisibilityTogglesDesc,Quickfast.xml,keyed,Select layers to hide
HatFiltersTip,Ctrl+J on a selected pawn will toggle the visibility of that hat type,HatFiltersTip,Quickfast.xml,keyed,Ctrl+J on a selected (PH_1) will toggle the visibility of that hat type
HairFiltersTip,Ctrl+H on a selected pawn will toggle the visibility of that hair type under hats,HairFiltersTip,Quickfast.xml,keyed,Ctrl+H on a selected (PH_1) will toggle the visibility of that hair type under hats
HatHairFiltersTip,Ctrl+K on a selected pawn will toggle the visibility of that hair and hat combination,HatHairFiltersTip,Quickfast.xml,keyed,Ctrl+K on a selected (PH_1) will toggle the visibility of that hair and hat combination
Apparel_equip_speed,Apparel equip speed,Apparel_equip_speed,Quickfast.xml,keyed,Apparel equip speed
Change_equip_speeds,Change equip speeds,Change_equip_speeds,Quickfast.xml,keyed,Change equip speeds
Same_speed_for_all_apparel,Same speed for all apparel,Same_speed_for_all_apparel,Quickfast.xml,keyed,Same speed for all apparel
Equip_speed_Ticks,Equip speed Ticks,Equip_speed_Ticks,Quickfast.xml,keyed,Equip speed Ticks
Equip_duration,Equip duration %,Equip_duration,Quickfast.xml,keyed,Equip duration %
Apparel_visibility,Apparel visibility,Apparel_visibility,Quickfast.xml,keyed,Apparel visibility
IndoorHidingMode,Only hide apparel indoors,IndoorHidingMode,Quickfast.xml,keyed,Only hide apparel indoors
Hide_hats_when_indoors,Hide hats,Hide_hats_when_indoors,Quickfast.xml,keyed,Hide hats
Hide_jackets_when_indoors,Hide shell layers,Hide_jackets_when_indoors,Quickfast.xml,keyed,Hide shell layers
Hats_only_while_drafted,Hats only while drafted,Hats_only_while_drafted,Quickfast.xml,keyed,Hats only while drafted
Show_hair_under_hats,Show hair under hats,Show_hair_under_hats,Quickfast.xml,keyed,Show hair under hats
HatScaling,Hat Scaling,HatScaling,Quickfast.xml,keyed,Hat Scaling
Normal__Narrow_Height,Normal + Narrow Height,Normal__Narrow_Height,Quickfast.xml,keyed,Normal + Narrow Height
Narrow_Width,Narrow Width,Narrow_Width,Quickfast.xml,keyed,Narrow Width
Hair_visibility,Hair visibility,Hair_visibility,Quickfast.xml,keyed,Hair visibility
HairScaleReset,Reset,HairScaleReset,Quickfast.xml,keyed,Reset
Hair_Filter_Remove,{0} can now be shown under hats,Hair_Filter_Remove,Quickfast.xml,keyed,(PH_1) can now be shown under hats
Hair_Filter_Add,{0} always hidden under hats,Hair_Filter_Add,Quickfast.xml,keyed,(PH_1) always hidden under hats
Hat_Filter_Remove,{0} can now be hidden while indoors or undrafted,Hat_Filter_Remove,Quickfast.xml,keyed,(PH_1) can now be hidden while indoors or undrafted
Hat_Filter_Add,{0} always visible,Hat_Filter_Add,Quickfast.xml,keyed,(PH_1) always visible
HairHat_Filter_Add,{0} always hidden under {1},HairHat_Filter_Add,Quickfast.xml,keyed,(PH_2) always hidden under (PH_1)
HairHat_Filter_Remove,{0} now visible under {1},HairHat_Filter_Remove,Quickfast.xml,keyed,(PH_2) now visible under (PH_1)
