key,text,tag,file,type,protected_text
dbh.Things,Things:,dbh.Things,DubsHygiene.xml,keyed,Things:
dbh.Terrain,Terrain:,dbh.Terrain,DubsHygiene.xml,keyed,Terrain:
dbh.Environment,Environment:,dbh.Environment,DubsHygiene.xml,keyed,Environment:
dbh.Pollution,Pollution,dbh.Pollution,DubsHygiene.xml,keyed,Pollution
dbh.Sewagecontamination,Sewage contamination,dbh.Sewagecontamination,DubsHygiene.xml,keyed,Sewage contamination
DesignatorRemovePlumbing,Remove pipes,DesignatorRemovePlumbing,DubsHygiene.xml,keyed,Remove pipes
DesignatorRemovePlumbingDesc,Designate sections of a pipe type for deconstruction.,DesignatorRemovePlumbingDesc,DubsHygiene.xml,keyed,Designate sections of a pipe type for deconstruction.
RemoveSewage,Remove sewage,RemoveSewage,DubsHygiene.xml,keyed,Remove sewage
RemoveSewageDesc,Remove sewage from the ground and place it into barrels.,RemoveSewageDesc,DubsHygiene.xml,keyed,Remove sewage from the ground and place it into barrels.
RemovePlumbing,Remove plumbing,RemovePlumbing,DubsHygiene.xml,keyed,Remove plumbing
RemoveAirCon,Remove air-con,RemoveAirCon,DubsHygiene.xml,keyed,Remove air-con
DBH.requiresSaunaRoom,Room is too large to heat!\nMaximum of 50 cells per heater\nAdd more sauna heaters or shrink the room,DBH.requiresSaunaRoom,DubsHygiene.xml,keyed,Room is too large to heat!(PH_2)Maximum of 50 cells per heater(PH_1)Add more sauna heaters or shrink the room
DBH.HeatedPool,Pool is heated,DBH.HeatedPool,DubsHygiene.xml,keyed,Pool is heated
DBH.CantUsePool,Cannot use pool now:,DBH.CantUsePool,DubsHygiene.xml,keyed,Cannot use pool now:
DBH.PoolRaining,Raining,DBH.PoolRaining,DubsHygiene.xml,keyed,Raining
DBH.PoolTooCold,Too cold {0},DBH.PoolTooCold,DubsHygiene.xml,keyed,Too cold (PH_1)
DBHPrisonWater,Prison needs water source,DBHPrisonWater,DubsHygiene.xml,keyed,Prison needs water source
DBHPrisonWaterEx,"A prison cell has no access to drinking water, build at least 1 drinking water source like a water tub or basin so that prisoners have free access to drinking water",DBHPrisonWaterEx,DubsHygiene.xml,keyed,"A prison cell has no access to drinking water, build at least 1 drinking water source like a water tub or basin so that prisoners have free access to drinking water"
Alert_MissingTower,Missing water tower,Alert_MissingTower,DubsHygiene.xml,keyed,Missing water tower
Alert_MissingTowerDesc,A water tower or water butt is required to store water pumped from wells.,Alert_MissingTowerDesc,DubsHygiene.xml,keyed,A water tower or water butt is required to store water pumped from wells.
Alert_MissingWell,Missing well,Alert_MissingWell,DubsHygiene.xml,keyed,Missing well
Alert_MissingWellDesc,Pumps require a piped well to access ground water.,Alert_MissingWellDesc,DubsHygiene.xml,keyed,Pumps require a piped well to access ground water.
Alert_MissingPump,Missing water pump,Alert_MissingPump,DubsHygiene.xml,keyed,Missing water pump
Alert_MissingPumpDesc,A water pump is required to pump the water from a well to a water tower.,Alert_MissingPumpDesc,DubsHygiene.xml,keyed,A water pump is required to pump the water from a well to a water tower.
DBHFalloutWarning,Fallout water contamination,DBHFalloutWarning,DubsHygiene.xml,keyed,Fallout water contamination
DBHFalloutWarningEx,"After 2 days of toxic fallout the buildup will contaminate any water storage tanks connected to water wells.\n\nPrepare by creating a reserve of water and then using a valve to disconnect the wells to protect the water from contamination before it is too late.\n\nYou can also use a deep well to access uncontaminated water, or install a water treatment system which will eliminate all contamination from water reserves.",DBHFalloutWarningEx,DubsHygiene.xml,keyed,"After 2 days of toxic fallout the buildup will contaminate any water storage tanks connected to water wells.(PH_4)(PH_3)Prepare by creating a reserve of water and then using a valve to disconnect the wells to protect the water from contamination before it is too late.(PH_2)(PH_1)You can also use a deep well to access uncontaminated water, or install a water treatment system which will eliminate all contamination from water reserves."
DBHVacuum,In a vacuum,DBHVacuum,DubsHygiene.xml,keyed,In a vacuum
LowCoolingCap,Low cooling capacity. You can increase the power of outdoor units.,LowCoolingCap,DubsHygiene.xml,keyed,Low cooling capacity. You can increase the power of outdoor units.
NotOwned,Access restricted,NotOwned,DubsHygiene.xml,keyed,Access restricted
GenderRestricted,{0} only,GenderRestricted,DubsHygiene.xml,keyed,(PH_1) only
PrisonersOnly,Prisoners only,PrisonersOnly,DubsHygiene.xml,keyed,Prisoners only
BlockedSewage,A sewage outlet has become blocked.,BlockedSewage,DubsHygiene.xml,keyed,A sewage outlet has become blocked.
BlockedSewageDesc,Sewage has built up around the drain hole and is blocking the outlet.\n\nBuild more outlets or add a septic tank to create a buffer and reduce pressure on the outlets.,BlockedSewageDesc,DubsHygiene.xml,keyed,Sewage has built up around the drain hole and is blocking the outlet.(PH_2)(PH_1)Build more outlets or add a septic tank to create a buffer and reduce pressure on the outlets.
LowWaterTemp,Low water temp,LowWaterTemp,DubsHygiene.xml,keyed,Low water temp
LowWaterTempDesc,"The water temperature in this tank is too low; colonists expecting to use hot water may get annoyed.\n\nTurn on boilers, increase the heating capacity, or add another hot water tank.",LowWaterTempDesc,DubsHygiene.xml,keyed,"The water temperature in this tank is too low; colonists expecting to use hot water may get annoyed.(PH_2)(PH_1)Turn on boilers, increase the heating capacity, or add another hot water tank."
WellNeedsWater,Must be placed over a cell with ground water.,WellNeedsWater,DubsHygiene.xml,keyed,Must be placed over a cell with ground water.
WellNeedsIce,Must be placed over a cell with subsurface ice deposits,WellNeedsIce,DubsHygiene.xml,keyed,Must be placed over a cell with subsurface ice deposits
AssigningRequiresRoom,The fixture must be inside a room to restrict it.,AssigningRequiresRoom,DubsHygiene.xml,keyed,The fixture must be inside a room to restrict it.
NoWaterTowers,Requires water storage tower,NoWaterTowers,DubsHygiene.xml,keyed,Requires water storage tower
AssigningRequiresBladderNeed,"Assigning requires bladder need, but {0} doesn't have bladder need.",AssigningRequiresBladderNeed,DubsHygiene.xml,keyed,"Assigning requires bladder need, but (PH_1) doesn't have bladder need."
DBHExtractorFrozen,Equipment frozen: {0},DBHExtractorFrozen,DubsHygiene.xml,keyed,Equipment frozen: (PH_1)
NoCompostingMaterial,No composting material,NoCompostingMaterial,DubsHygiene.xml,keyed,No composting material
Nowater,No water capacity,Nowater,DubsHygiene.xml,keyed,No water capacity
Nosewage,No sewage capacity,Nosewage,DubsHygiene.xml,keyed,No sewage capacity
RequiresPlumbing,Requires plumbing,RequiresPlumbing,DubsHygiene.xml,keyed,Requires plumbing
AccessRestricted,Access restricted,AccessRestricted,DubsHygiene.xml,keyed,Access restricted
TooHot,Too hot: x{0},TooHot,DubsHygiene.xml,keyed,Too hot: x(PH_1)
InRain,In rain: x{0},InRain,DubsHygiene.xml,keyed,In rain: x(PH_1)
PhysicalActivity,Exertion: x{0},PhysicalActivity,DubsHygiene.xml,keyed,Exertion: x(PH_1)
FilthyRoom,Room: x{0},FilthyRoom,DubsHygiene.xml,keyed,Room: x(PH_1)
TotalHygieneStat,Total: x{0},TotalHygieneStat,DubsHygiene.xml,keyed,Total: x(PH_1)
DirtyHands,Dirty hands - Disease risk,DirtyHands,DubsHygiene.xml,keyed,Dirty hands - Disease risk
LetterLabelBlockedDrain,A drain has become blocked.,LetterLabelBlockedDrain,DubsHygiene.xml,keyed,A drain has become blocked.
LetterBlockedDrain,A drain has become blocked. A cleaner must clean the blockage.,LetterBlockedDrain,DubsHygiene.xml,keyed,A drain has become blocked. A cleaner must clean the blockage.
