key,text,tag,file,type,protected_text,translated
dbh.Things,Things:,dbh.Things,DubsHygiene.xml,keyed,Things:,事物：
dbh.Terrain,Terrain:,dbh.Terrain,DubsHygiene.xml,keyed,Terrain:,地形：
dbh.Environment,Environment:,dbh.Environment,DubsHygiene.xml,keyed,Environment:,环境：
dbh.Pollution,Pollution,dbh.Pollution,DubsHygiene.xml,keyed,Pollution,污染
dbh.Sewagecontamination,Sewage contamination,dbh.Sewagecontamination,DubsHygiene.xml,keyed,Sewage contamination,污水污染
DesignatorRemovePlumbing,Remove pipes,DesignatorRemovePlumbing,DubsHygiene.xml,keyed,Remove pipes,拆除管道
DesignatorRemovePlumbingDesc,Designate sections of a pipe type for deconstruction.,DesignatorRemovePlumbingDesc,DubsHygiene.xml,keyed,Designate sections of a pipe type for deconstruction.,指定管道类型的部分进行解构。
RemoveSewage,Remove sewage,RemoveSewage,DubsHygiene.xml,keyed,Remove sewage,清除污水
RemoveSewageDesc,Remove sewage from the ground and place it into barrels.,RemoveSewageDesc,DubsHygiene.xml,keyed,Remove sewage from the ground and place it into barrels.,将地面污水清除并放入桶中。
RemovePlumbing,Remove plumbing,RemovePlumbing,DubsHygiene.xml,keyed,Remove plumbing,拆除管道
RemoveAirCon,Remove air-con,RemoveAirCon,DubsHygiene.xml,keyed,Remove air-con,拆掉空调
DBH.requiresSaunaRoom,Room is too large to heat!\nMaximum of 50 cells per heater\nAdd more sauna heaters or shrink the room,DBH.requiresSaunaRoom,DubsHygiene.xml,keyed,Room is too large to heat!(PH_2)Maximum of 50 cells per heater(PH_1)Add more sauna heaters or shrink the room,"房间太大，无法供暖！
每个加热器最多 50 个单元
添加更多桑拿加热器或缩小房间"
DBH.HeatedPool,Pool is heated,DBH.HeatedPool,DubsHygiene.xml,keyed,Pool is heated,泳池是恒温的
DBH.CantUsePool,Cannot use pool now:,DBH.CantUsePool,DubsHygiene.xml,keyed,Cannot use pool now:,现在无法使用池：
DBH.PoolRaining,Raining,DBH.PoolRaining,DubsHygiene.xml,keyed,Raining,下雨
DBH.PoolTooCold,Too cold {0},DBH.PoolTooCold,DubsHygiene.xml,keyed,Too cold (PH_1),太冷了 {0}
DBHPrisonWater,Prison needs water source,DBHPrisonWater,DubsHygiene.xml,keyed,Prison needs water source,监狱需要水源
DBHPrisonWaterEx,"A prison cell has no access to drinking water, build at least 1 drinking water source like a water tub or basin so that prisoners have free access to drinking water",DBHPrisonWaterEx,DubsHygiene.xml,keyed,"A prison cell has no access to drinking water, build at least 1 drinking water source like a water tub or basin so that prisoners have free access to drinking water",监狱牢房没有饮用水，应建立至少 1 个饮用水源，如水盆或水盆，以便囚犯能够自由获得饮用水
Alert_MissingTower,Missing water tower,Alert_MissingTower,DubsHygiene.xml,keyed,Missing water tower,水塔不见了
Alert_MissingTowerDesc,A water tower or water butt is required to store water pumped from wells.,Alert_MissingTowerDesc,DubsHygiene.xml,keyed,A water tower or water butt is required to store water pumped from wells.,需要水塔或水桶来储存从井中抽出的水。
Alert_MissingWell,Missing well,Alert_MissingWell,DubsHygiene.xml,keyed,Missing well,失踪井
Alert_MissingWellDesc,Pumps require a piped well to access ground water.,Alert_MissingWellDesc,DubsHygiene.xml,keyed,Pumps require a piped well to access ground water.,泵需要管道井才能获取地下水。
Alert_MissingPump,Missing water pump,Alert_MissingPump,DubsHygiene.xml,keyed,Missing water pump,缺少水泵
Alert_MissingPumpDesc,A water pump is required to pump the water from a well to a water tower.,Alert_MissingPumpDesc,DubsHygiene.xml,keyed,A water pump is required to pump the water from a well to a water tower.,需要水泵将水从井抽到水塔。
DBHFalloutWarning,Fallout water contamination,DBHFalloutWarning,DubsHygiene.xml,keyed,Fallout water contamination,沉降水污染
DBHFalloutWarningEx,"After 2 days of toxic fallout the buildup will contaminate any water storage tanks connected to water wells.\n\nPrepare by creating a reserve of water and then using a valve to disconnect the wells to protect the water from contamination before it is too late.\n\nYou can also use a deep well to access uncontaminated water, or install a water treatment system which will eliminate all contamination from water reserves.",DBHFalloutWarningEx,DubsHygiene.xml,keyed,"After 2 days of toxic fallout the buildup will contaminate any water storage tanks connected to water wells.(PH_4)(PH_3)Prepare by creating a reserve of water and then using a valve to disconnect the wells to protect the water from contamination before it is too late.(PH_2)(PH_1)You can also use a deep well to access uncontaminated water, or install a water treatment system which will eliminate all contamination from water reserves.","有毒沉降物经过 2 天后，堆积物将污染所有与水井相连的储水罐。

做好准备，先建立一个水储备，然后使用阀门断开水井，以防止水受到污染。

您还可以使用深井获取未受污染的水，或安装水处理系统，消除所有污染。水储备的污染。"
DBHVacuum,In a vacuum,DBHVacuum,DubsHygiene.xml,keyed,In a vacuum,在真空中
