key,text,tag,file,type,protected_text,translated
tab.settings,Settings,tab.settings,English.xml,keyed,Settings,设置
tab.tick,Tick,tab.tick,English.xml,keyed,Tick,打钩
tab.update,Update,tab.update,English.xml,keyed,Update,更新
tab.gui,GUI,tab.gui,English.xml,keyed,GUI,图形用户界面
tab.modder,Modder,tab.modder,English.xml,keyed,Modder,泥
tab.settings.desc,Enable and disable optional settings which effect which information is displayed,tab.settings.desc,English.xml,keyed,Enable and disable optional settings which effect which information is displayed,启用和禁用影响显示信息的可选设置
tab.tick.desc,Methods which are tick based,tab.tick.desc,English.xml,keyed,Methods which are tick based,基于刻度的方法
tab.update.desc,Methods which are update based,tab.update.desc,English.xml,keyed,Methods which are update based,基于更新的方法
tab.gui.desc,Methods which are run on gui,tab.gui.desc,English.xml,keyed,Methods which are run on gui,在 gui 上运行的方法
tab.modder.desc,Methods which have been added by modders via Analyzer.xml,tab.modder.desc,English.xml,keyed,Methods which have been added by modders via Analyzer.xml,模组作者通过Analyzer.xml 添加的方法
settings.Overrides,Overrides,settings.Overrides,English.xml,keyed,Overrides,覆盖
settings.Disabling,Disabling,settings.Disabling,English.xml,keyed,Disabling,禁用
settings.Optimizations,Optimizations,settings.Optimizations,English.xml,keyed,Optimizations,优化
settings.performance,Performance Options,settings.performance,English.xml,keyed,Performance Options,性能选项
settings.developer,Developer Options,settings.developer,English.xml,keyed,Developer Options,开发者选项
settings.wiki,Analyzer Wiki,settings.wiki,English.xml,keyed,Analyzer Wiki,分析器维基
settings.discord,Dubs Discord,settings.discord,English.xml,keyed,Dubs Discord,配音不和谐
settings.dnspy,Path to Dnspy (Including the Exe),settings.dnspy,English.xml,keyed,Path to Dnspy (Including the Exe),Dnspy 路径（包括 Exe）
settings.ups,Stat updates per second,settings.ups,English.xml,keyed,Stat updates per second,每秒更新统计数据
settings.logging,Verbose Logging,settings.logging,English.xml,keyed,Verbose Logging,详细日志记录
settings.disable.tps.counter,Disable FPS and TPS Counter,settings.disable.tps.counter,English.xml,keyed,Disable FPS and TPS Counter,禁用 FPS 和 TPS 计数器
settings.disable.cleanup,Disable automatic cleanup,settings.disable.cleanup,English.xml,keyed,Disable automatic cleanup,禁用自动清理
settings.disable.cleanup.desc,Do NOT do this if you do not know what you are doing. This will prevent analyzer from cleaning up from after itself automatically. Analyzer can be forced to manually cleanup immediately by right clicking the menu tab button and selecting 'Cleanup',settings.disable.cleanup.desc,English.xml,keyed,Do NOT do this if you do not know what you are doing. This will prevent analyzer from cleaning up from after itself automatically. Analyzer can be forced to manually cleanup immediately by right clicking the menu tab button and selecting 'Cleanup',如果您不知道自己在做什么，请不要这样做。这将防止分析仪自动清理。分析器可以强制立即手动清理，方法是右键单击菜单选项卡按钮并选择“清理”
settings.enable.debug.log,Enable log without debug mode,settings.enable.debug.log,English.xml,keyed,Enable log without debug mode,启用日志而不使用调试模式
settings.show.icon,Show the main tab icon on the bottom bar,settings.show.icon,English.xml,keyed,Show the main tab icon on the bottom bar,在底部栏上显示主选项卡图标
settings.long.form.names,Show methods in analyzer using long-form names (includes params),settings.long.form.names,English.xml,keyed,Show methods in analyzer using long-form names (includes params),使用长格式名称（包括参数）在分析器中显示方法
settings.disable.threading,"Disable multi-threaded patching, may prevent issues with assembly patching.",settings.disable.threading,English.xml,keyed,"Disable multi-threaded patching, may prevent issues with assembly patching.",禁用多线程修补，可能会防止程序集修补出现问题。
devoptions.heading,Profile,devoptions.heading,English.xml,keyed,Profile,轮廓
devoptions.input.method,Method,devoptions.input.method,English.xml,keyed,Method,方法
devoptions.input.methodinternal,Method Internals,devoptions.input.methodinternal,English.xml,keyed,Method Internals,方法内部结构
devoptions.input.methodharmony,Method Harmony,devoptions.input.methodharmony,English.xml,keyed,Method Harmony,方法和谐
devoptions.input.subclasses,Subclass of Type,devoptions.input.subclasses,English.xml,keyed,Subclass of Type,类型的子类
devoptions.input.typeharmony,Type Harmony,devoptions.input.typeharmony,English.xml,keyed,Type Harmony,类型和谐
devoptions.input.assembly,Assembly,devoptions.input.assembly,English.xml,keyed,Assembly,集会
devoptions.patchtype.tick,Tick,devoptions.patchtype.tick,English.xml,keyed,Tick,打钩
devoptions.patchtype.update,Update,devoptions.patchtype.update,English.xml,keyed,Update,更新
top.pause.analyzer,"Pause/Unpause profiling that the analyzer is done, this is not equivalent to unpatching",top.pause.analyzer,English.xml,keyed,"Pause/Unpause profiling that the analyzer is done, this is not equivalent to unpatching",分析器已完成的暂停/取消暂停分析，这并不等同于取消修补
top.refresh,Refresh the list of logs,top.refresh,English.xml,keyed,Refresh the list of logs,刷新日志列表
top.search,Search by name or time to filter which entries show,top.search,English.xml,keyed,Search by name or time to filter which entries show,按名称或时间搜索以过滤显示的条目
top.gc.tip,This will show a rough estimate of the memory consumed and thrown away at a given time,top.gc.tip,English.xml,keyed,This will show a rough estimate of the memory consumed and thrown away at a given time,这将显示给定时间消耗和丢弃的内存的粗略估计
top.fps.tip,This will show your calculated frames per second,top.fps.tip,English.xml,keyed,This will show your calculated frames per second,这将显示您计算的每秒帧数
top.tps.tip,"This will show your ticks per second, ticks are the metric the game uses to quantiy time passing, multiple ticks can happen per second, the game aims to reach 60tps at 1x",top.tps.tip,English.xml,keyed,"This will show your ticks per second, ticks are the metric the game uses to quantiy time passing, multiple ticks can happen per second, the game aims to reach 60tps at 1x",这将显示每秒的滴答数，滴答数是游戏用来量化时间流逝的指标，每秒可能会发生多个滴答数，游戏的目标是在 1x 下达到 60tps
logs.max,Max,logs.max,English.xml,keyed,Max,最大限度
logs.av,Average,logs.av,English.xml,keyed,Average,平均的
logs.avpu,Average Per {0},logs.avpu,English.xml,keyed,Average Per (PH_1),平均 每 {0}
logs.percent,Percent,logs.percent,English.xml,keyed,Percent,百分比
logs.avpc,Av Per Call,logs.avpc,English.xml,keyed,Av Per Call,按每次通话
logs.calls,Calls,logs.calls,English.xml,keyed,Calls,通话
logs.name,Name,logs.name,English.xml,keyed,Name,姓名
logs.total,Total,logs.total,English.xml,keyed,Total,全部的
logs.callspu,Av Calls Per {0},logs.callspu,English.xml,keyed,Av Calls Per (PH_1),按 {0} 调用
logs.maxpu,Max For {0},logs.maxpu,English.xml,keyed,Max For (PH_1),最大值 {0}
dpa.frame,Frame,dpa.frame,English.xml,keyed,Frame,框架
logs.max.desc,Sort the rows by the maximum (MS) peak the method has reached,logs.max.desc,English.xml,keyed,Sort the rows by the maximum (MS) peak the method has reached,按方法已达到的最大 (MS) 峰值对行进行排序
logs.av.desc,Sort the rows by the average (MS) the method is reaching,logs.av.desc,English.xml,keyed,Sort the rows by the average (MS) the method is reaching,按方法达到的平均值 (MS) 对行进行排序
logs.percent.desc,Sort the rows by relative percent in the category,logs.percent.desc,English.xml,keyed,Sort the rows by relative percent in the category,按类别中的相对百分比对行进行排序
logs.avpc.desc,Sort the rows by the average per call (MS),logs.avpc.desc,English.xml,keyed,Sort the rows by the average per call (MS),按每次调用的平均值 (MS) 对行进行排序
logs.calls.desc,Sort the rows by total amount of calls,logs.calls.desc,English.xml,keyed,Sort the rows by total amount of calls,按调用总数对行进行排序
logs.name.desc,Sort the rows in alphabetical order,logs.name.desc,English.xml,keyed,Sort the rows in alphabetical order,按字母顺序对行进行排序
logs.total.desc,Sort the rows by total (MS) impact,logs.total.desc,English.xml,keyed,Sort the rows by total (MS) impact,按总 (MS) 影响对行进行排序
logs.callspu.desc,Sort the rows by average calls per {0},logs.callspu.desc,English.xml,keyed,Sort the rows by average calls per (PH_1),按每个 {0} 的平均调用次数对行进行排序
panel.mod.name,Mod Name,panel.mod.name,English.xml,keyed,Mod Name,模组名称
panel.opengithub,Open in Github,panel.opengithub,English.xml,keyed,Open in Github,在 Github 中打开
panel.opendnspy,Open in Dnspy (requires the local path to be set),panel.opendnspy,English.xml,keyed,Open in Dnspy (requires the local path to be set),在Dnspy中打开（需要设置本地路径）
entry.gui.colonistbar,Colonist Bar OnGUI,entry.gui.colonistbar,English.xml,keyed,Colonist Bar OnGUI,殖民者酒吧 OnGUI
