key,text,tag,file,type,protected_text
nuclearFuelAllowNew,Allow New Fuel,nuclearFuelAllowNew,Rimatomics.xml,keyed,Allow New Fuel
nuclearFuelAllowUsed,Allow Used Fuel,nuclearFuelAllowUsed,Rimatomics.xml,keyed,Allow Used Fuel
Weaponrankicons,Weapon rank icons,Weaponrankicons,Rimatomics.xml,keyed,Weapon rank icons
WeaponrankiconsDesc,Shows small rank icons on veteran energy weapons when zoomed in,WeaponrankiconsDesc,Rimatomics.xml,keyed,Shows small rank icons on veteran energy weapons when zoomed in
Showresearchbutton,Show research button,Showresearchbutton,Rimatomics.xml,keyed,Show research button
ShowresearchbuttonDesc,"Adds a Rimatomics research button to the main tabs, else it can be opened from a tab on each research bench",ShowresearchbuttonDesc,Rimatomics.xml,keyed,"Adds a Rimatomics research button to the main tabs, else it can be opened from a tab on each research bench"
Mannedreactorconsole,Manned reactor console,Mannedreactorconsole,Rimatomics.xml,keyed,Manned reactor console
MannedreactorconsoleDesc,"Reactor consoles must me manned by a pawn for the control window to open, else it can be opened from a button",MannedreactorconsoleDesc,Rimatomics.xml,keyed,"Reactor consoles must me manned by a (PH_1) for the control window to open, else it can be opened from a button"
ThreatDetectionToggle,Threat Detection,ThreatDetectionToggle,Rimatomics.xml,keyed,Threat Detection
ThreatDetectionToggleDesc,Toggle threat detection mode,ThreatDetectionToggleDesc,Rimatomics.xml,keyed,Toggle threat detection mode
AutothrotIDCount,"Multiple cores set to {0}, each core must have a unique ID for auto-throttle to engage",AutothrotIDCount,Rimatomics.xml,keyed,"Multiple cores set to (PH_1), each core must have a unique ID for auto-throttle to engage"
AutothrotOn,Auto-throttle engaged for {0},AutothrotOn,Rimatomics.xml,keyed,Auto-throttle engaged for (PH_1)
AutothrotOff,Auto-throttle disengaged for {0},AutothrotOff,Rimatomics.xml,keyed,Auto-throttle disengaged for (PH_1)
AutothrotRange,Grid excess must be within +/- 5000w to engage,AutothrotRange,Rimatomics.xml,keyed,Grid excess must be within +/- 5000w to engage
AutothrotTip,"Engage Auto-throttle\n\ncontrol flux level to match power net load, the grid excess on the power net that this console is connected to must be within +/- 5000w to engage",AutothrotTip,Rimatomics.xml,keyed,"Engage Auto-throttle(PH_2)(PH_1)control flux level to match power net load, the grid excess on the power net that this console is connected to must be within +/- 5000w to engage"
CoreIdMismatch,"Reactor and console ID do not match, each core requires its own console with a unique ID for auto-throttle",CoreIdMismatch,Rimatomics.xml,keyed,"Reactor and console ID do not match, each core requires its own console with a unique ID for auto-throttle"
FuelLifeRange,{0} Fuel Life,FuelLifeRange,Rimatomics.xml,keyed,(PH_1) Fuel Life
PoolLoading,Loading,PoolLoading,Rimatomics.xml,keyed,Loading
PoolUnloading,Unloading,PoolUnloading,Rimatomics.xml,keyed,Unloading
Designateremoveallspent,Remove all spent fuel,Designateremoveallspent,Rimatomics.xml,keyed,Remove all spent fuel
Designateremoveall,Remove all fuel,Designateremoveall,Rimatomics.xml,keyed,Remove all fuel
Designateremoveallprocessable,Remove all processable fuel,Designateremoveallprocessable,Rimatomics.xml,keyed,Remove all processable fuel
Designateinstallall,Install fuel into all slots,Designateinstallall,Rimatomics.xml,keyed,Install fuel into all slots
Clearalldesignations,Clear all designations,Clearalldesignations,Rimatomics.xml,keyed,Clear all designations
MissingPESUpgrades,When the mod Preemtive Strike is running its sky object detection research projects must be completed before the ATOM can detect incoming drop pods. The scramblers will however still operate normally.,MissingPESUpgrades,Rimatomics.xml,keyed,When the mod Preemtive Strike is running its sky object detection research projects must be completed before the ATOM can detect incoming drop pods. The scramblers will however still operate normally.
ReactorAlert,Reactor Alert!,ReactorAlert,Rimatomics.xml,keyed,Reactor Alert!
ShortRangeStratLaunch,Tactical Launch,ShortRangeStratLaunch,Rimatomics.xml,keyed,Tactical Launch
ShortRangeStratLaunchDesc,Launch a strategic missile on this map,ShortRangeStratLaunchDesc,Rimatomics.xml,keyed,Launch a strategic missile on this map
LongRangeStratLaunch,Strategic Launch,LongRangeStratLaunch,Rimatomics.xml,keyed,Strategic Launch
LongRangeStratLaunchDesc,Launch the missile at a target on this Rimworld,LongRangeStratLaunchDesc,Rimatomics.xml,keyed,Launch the missile at a target on this Rimworld
HighYieldWarhead,High Yield,HighYieldWarhead,Rimatomics.xml,keyed,High Yield
HighYieldWarheadDesc,Warheads launched from this silo are set to create a massive explosion that will destroy anything on the map that isn't inside a mountain bunker,HighYieldWarheadDesc,Rimatomics.xml,keyed,Warheads launched from this silo are set to create a massive explosion that will destroy anything on the map that isn't inside a mountain bunker
LowYieldWarhead,Low Yield,LowYieldWarhead,Rimatomics.xml,keyed,Low Yield
LowYieldWarheadDesc,Missiles launched from this silo are set to create a small tactical explosion,LowYieldWarheadDesc,Rimatomics.xml,keyed,Missiles launched from this silo are set to create a small tactical explosion
RimatomicsValveLabel,Toggle Valve,RimatomicsValveLabel,Rimatomics.xml,keyed,Toggle Valve
RimatomicsValveLabelDesc,Toggle the valve open or closed,RimatomicsValveLabelDesc,Rimatomics.xml,keyed,Toggle the valve open or closed
FlareScram,Flare SCRAM,FlareScram,Rimatomics.xml,keyed,Flare SCRAM
FlareScramDesc,SCRAM the reactor during solar flares,FlareScramDesc,Rimatomics.xml,keyed,SCRAM the reactor during solar flares
TargetAllShells,Target All Shells,TargetAllShells,Rimatomics.xml,keyed,Target All Shells
TargetEnemyShells,Target Enemy Shells,TargetEnemyShells,Rimatomics.xml,keyed,Target Enemy Shells
ThreatDetection,Threat Detection,ThreatDetection,Rimatomics.xml,keyed,Threat Detection
NextResearchStep,Next Step:,NextResearchStep,Rimatomics.xml,keyed,Next Step:
Rimatomics.LowCoolingCapacityDesc,"A reactor cooling building is running at low capacity\n\nTowers need to be unroofed, water coolers need enough surface water, if you are using bad hygiene link mode make sure cooling towers are filled with water",Rimatomics.LowCoolingCapacityDesc,Rimatomics.xml,keyed,"A reactor cooling building is running at low capacity(PH_2)(PH_1)Towers need to be unroofed, water coolers need enough surface water, if you are using bad hygiene link mode make sure cooling towers are filled with water"
Rimatomics.LowCoolingCapacity,Low Reactor Cooling,Rimatomics.LowCoolingCapacity,Rimatomics.xml,keyed,Low Reactor Cooling
AlertNeedsTurbine,Core needs turbine,AlertNeedsTurbine,Rimatomics.xml,keyed,Core needs turbine
AlertNeedsTurbineDesc,"A reactor needs to be connected to a turbine, failure to do so may result in overheating and meltdown",AlertNeedsTurbineDesc,Rimatomics.xml,keyed,"A reactor needs to be connected to a turbine, failure to do so may result in overheating and meltdown"
AlertNeedsCooling,Turbine needs cooling,AlertNeedsCooling,Rimatomics.xml,keyed,Turbine needs cooling
AlertNeedsCoolingDesc,"A turbine needs to be connected to a cooling system, failure to do so may result in overheating and meltdown",AlertNeedsCoolingDesc,Rimatomics.xml,keyed,"A turbine needs to be connected to a cooling system, failure to do so may result in overheating and meltdown"
AlertCoreMelt,Core Melt,AlertCoreMelt,Rimatomics.xml,keyed,Core Melt
AlertCoreMeltDesc,"A reactor is suffering a core melt incident, evacuate immediately",AlertCoreMeltDesc,Rimatomics.xml,keyed,"A reactor is suffering a core melt incident, evacuate immediately"
AlertCoreOverheat,Reactor Temp,AlertCoreOverheat,Rimatomics.xml,keyed,Reactor Temp
AlertCoreOverheatDesc,A reactor is being damaged due to overheating,AlertCoreOverheatDesc,Rimatomics.xml,keyed,A reactor is being damaged due to overheating
AlertCracked,Cracked Core,AlertCracked,Rimatomics.xml,keyed,Cracked Core
AlertCrackedDesc,"Stress from running the core at high temperatures for a long period of time has caused the core to crack, it will need to be deconstructed and rebuilt or it will continue to emit lethal radiation, produce less power and damage the fuel rods.",AlertCrackedDesc,Rimatomics.xml,keyed,"Stress from running the core at high temperatures for a long period of time has caused the core to crack, it will need to be deconstructed and rebuilt or it will continue to emit lethal radiation, produce less power and damage the fuel rods."
CRACKEDFUEL,::CRACKED FUEL::,CRACKEDFUEL,Rimatomics.xml,keyed,::CRACKED FUEL::
NOCOOLING,::NO COOLING::,NOCOOLING,Rimatomics.xml,keyed,::NO COOLING::
OVERHEATING,::OVERHEATING:: {0},OVERHEATING,Rimatomics.xml,keyed,::OVERHEATING:: (PH_1)
COREMELT,::CORE MELT IMMINENT::,COREMELT,Rimatomics.xml,keyed,::CORE MELT IMMINENT::
EVACUATE,::EVACUATE::,EVACUATE,Rimatomics.xml,keyed,::EVACUATE::
CONTROLRODJAM,::CONTROL RODS JAMMED::,CONTROLRODJAM,Rimatomics.xml,keyed,::CONTROL RODS JAMMED::
ReactorAlerts,Reactor Alerts:,ReactorAlerts,Rimatomics.xml,keyed,Reactor Alerts:
RADIATIONLEAK,::RADIATION LEAK::,RADIATIONLEAK,Rimatomics.xml,keyed,::RADIATION LEAK::
RADIATIONLEAKSYSTEM,::RADIATION IN SYSTEM::,RADIATIONLEAKSYSTEM,Rimatomics.xml,keyed,::RADIATION IN SYSTEM::
PodsScrambledOK,Enemy drop pods scrambled by TACS,PodsScrambledOK,Rimatomics.xml,keyed,Enemy drop pods scrambled by TACS
PodsScrambledDesc,The enemy drop pod guidance systems were scrambled by the TACS using a {0}kw pulse,PodsScrambledDesc,Rimatomics.xml,keyed,The enemy drop pod guidance systems were scrambled by the TACS using a (PH_1)kw pulse
PodsScrambledFail,Failed to scramble enemy drop pods,PodsScrambledFail,Rimatomics.xml,keyed,Failed to scramble enemy drop pods
PodsScrambledFailDesc,The {0}kw pulse required to scramble this raid was not available,PodsScrambledFailDesc,Rimatomics.xml,keyed,The (PH_1)kw pulse required to scramble this raid was not available
ScrambleDropPods,Scramble Drop Pods,ScrambleDropPods,Rimatomics.xml,keyed,Scramble Drop Pods
ScrambleDropPodsDesc,Prevent raiders landing in the center of the map by using a large pulse of energy from connected PPC's to scramble the guidance systems of incoming drop pods,ScrambleDropPodsDesc,Rimatomics.xml,keyed,Prevent raiders landing in the center of the map by using a large pulse of energy from connected PPC's to scramble the guidance systems of incoming drop pods
TemperatureTip,"Temperature\n\nHigh temperature can cause damage to the core, and crack the fuel. If the cores HP reaches 0 while it is at or above its normal operating temperature it will explode",TemperatureTip,Rimatomics.xml,keyed,"Temperature(PH_2)(PH_1)High temperature can cause damage to the core, and crack the fuel. If the cores HP reaches 0 while it is at or above its normal operating temperature it will explode"
FuelTip,Fuel\n\nThe total amount of fuel in the core. Fuel chain reacts with fuel in adjacent slots which produces more power\nFuel will produce less power over time until it is spent,FuelTip,Rimatomics.xml,keyed,Fuel(PH_3)(PH_2)The total amount of fuel in the core. Fuel chain reacts with fuel in adjacent slots which produces more power(PH_1)Fuel will produce less power over time until it is spent
CoolingTip,Cooling\n\nTotal amount of your cooling capacity that is in use. If the gauge turns red add more cooling or reduce power,CoolingTip,Rimatomics.xml,keyed,Cooling(PH_2)(PH_1)Total amount of your cooling capacity that is in use. If the gauge turns red add more cooling or reduce power
TurbineTip,Turbine\n\nTotal amount of your turbine capacity that is in use. If the gauge turns red add more turbines or reduce power\n\nTurbines also require enough transformers to distribute the power to standard power nets,TurbineTip,Rimatomics.xml,keyed,Turbine(PH_4)(PH_3)Total amount of your turbine capacity that is in use. If the gauge turns red add more turbines or reduce power(PH_2)(PH_1)Turbines also require enough transformers to distribute the power to standard power nets
PowerTip,"Power\n\nTotal amount of power being produced by the reactor, does not count how much is actually being generated by turbines and transformers",PowerTip,Rimatomics.xml,keyed,"Power(PH_2)(PH_1)Total amount of power being produced by the reactor, does not count how much is actually being generated by turbines and transformers"
RadiationTip,"Radiation\n\nThe core will emit radiation if it becomes damaged, the amount of radiation increases with the amount of damage",RadiationTip,Rimatomics.xml,keyed,"Radiation(PH_2)(PH_1)The core will emit radiation if it becomes damaged, the amount of radiation increases with the amount of damage"
CoreNotBuilt,Not Built,CoreNotBuilt,Rimatomics.xml,keyed,Not Built
Dragtoincreasefluxlevel,Drag to increase flux level to produce more power,Dragtoincreasefluxlevel,Rimatomics.xml,keyed,Drag to increase flux level to produce more power
MOX,MOX,MOX,Rimatomics.xml,keyed,MOX
Used,Used,Used,Rimatomics.xml,keyed,Used
AbortTest,ABORT,AbortTest,Rimatomics.xml,keyed,ABORT
reactorSCRAM,SCRAM,reactorSCRAM,Rimatomics.xml,keyed,SCRAM
reactorSTART,START,reactorSTART,Rimatomics.xml,keyed,START
BreederTest,Breeder Test,BreederTest,Rimatomics.xml,keyed,Breeder Test
InstallAll,Install all,InstallAll,Rimatomics.xml,keyed,Install all
ShutdownCold,Shutdown and Cold,ShutdownCold,Rimatomics.xml,keyed,Shutdown and Cold
StartingUp,Starting up,StartingUp,Rimatomics.xml,keyed,Starting up
ShuttingDown,Shutting down,ShuttingDown,Rimatomics.xml,keyed,Shutting down
RimatomActive,Active,RimatomActive,Rimatomics.xml,keyed,Active
ReactorBreakdown,ID: {0}\nStatus: {1}\nMax power: {2}W\nConversion ratio: {3}\n\n{4},ReactorBreakdown,Rimatomics.xml,keyed,ID: (PH_10)(PH_9)Status: (PH_8)(PH_7)Max power: (PH_6)W(PH_5)Conversion ratio: (PH_4)(PH_3)(PH_2)(PH_1)
SlotBreakdown,Estimated Life: {0}\nMax Power: {1}W\nCurrent Power: {2}W\nFuel Life: {3}\nPu Yield: {4},SlotBreakdown,Rimatomics.xml,keyed,Estimated Life: (PH_9)(PH_8)Max Power: (PH_7)W(PH_6)Current Power: (PH_5)W(PH_4)Fuel Life: (PH_3)(PH_2)Pu Yield: (PH_1)
cycleScreensDesc,Monitor all reactors on this network,cycleScreensDesc,Rimatomics.xml,keyed,Monitor all reactors on this network
cycleScreens,Monitor All,cycleScreens,Rimatomics.xml,keyed,Monitor All
AutoScram,Auto Scram,AutoScram,Rimatomics.xml,keyed,Auto Scram
AutoScramDesc,"SCRAM the reactor core when the temperature reaches unsafe levels, or a solar flare is detected",AutoScramDesc,Rimatomics.xml,keyed,"SCRAM the reactor core when the temperature reaches unsafe levels, or a solar flare is detected"
FlareSCRAMletterText,A solar flare has triggered a reactor SCRAM,FlareSCRAMletterText,Rimatomics.xml,keyed,A solar flare has triggered a reactor SCRAM
SCRAMletterText,Unsafe core temperature has triggered a reactor SCRAM,SCRAMletterText,Rimatomics.xml,keyed,Unsafe core temperature has triggered a reactor SCRAM
CantUseReactorConsole,Requires 8 intellectual,CantUseReactorConsole,Rimatomics.xml,keyed,Requires 8 intellectual
ProcessingProgress,Progress: {0} {1},ProcessingProgress,Rimatomics.xml,keyed,Progress: (PH_2) (PH_1)
ContainsFuel,Contains {0} / {1} Nuclear fuel.,ContainsFuel,Rimatomics.xml,keyed,Contains (PH_2) / (PH_1) Nuclear fuel.
ContainsChemfuel,Contains {0} / {1} Chemfuel.,ContainsChemfuel,Rimatomics.xml,keyed,Contains (PH_2) / (PH_1) Chemfuel.
critSpentfuelonly,Spent fuel only,critSpentfuelonly,Rimatomics.xml,keyed,Spent fuel only
critAnyfuel,Any fuel,critAnyfuel,Rimatomics.xml,keyed,Any fuel
critProg,Progress: {0},critProg,Rimatomics.xml,keyed,Progress: (PH_1)
critRemovePlutonium,"Processing complete, remove material",critRemovePlutonium,Rimatomics.xml,keyed,"Processing complete, remove material"
critEnouPU,Can be reprocessed,critEnouPU,Rimatomics.xml,keyed,Can be reprocessed
NoChemfuel,No chemfuel,NoChemfuel,Rimatomics.xml,keyed,No chemfuel
VeteranBonus,Bonus: Cooldown -{0}%,VeteranBonus,Rimatomics.xml,keyed,Bonus: Cooldown -(PH_1)
AnUnknownForce,an unknown force,AnUnknownForce,Rimatomics.xml,keyed,an unknown force
ATOMattackGround,via land,ATOMattackGround,Rimatomics.xml,keyed,via land
ATOMattackPods,via drop pods,ATOMattackPods,Rimatomics.xml,keyed,via drop pods
ATOMdetection,Threat Detected!,ATOMdetection,Rimatomics.xml,keyed,Threat Detected!
ATOMdetectionDesc,"The TACS has detected a possible threat, it is estimated that {0} will attack {1} in approximately {2}",ATOMdetectionDesc,Rimatomics.xml,keyed,"The TACS has detected a possible threat, it is estimated that (PH_3) will attack (PH_2) in approximately (PH_1)"
ScadLivesMatter,SCAD HP: {0},ScadLivesMatter,Rimatomics.xml,keyed,SCAD HP: (PH_1)
Detonating,Detonating...,Detonating,Rimatomics.xml,keyed,Detonating...
KillCounter,Kills: {0},KillCounter,Rimatomics.xml,keyed,Kills: (PH_1)
energyWepLoadedShell,Loaded: {0},energyWepLoadedShell,Rimatomics.xml,keyed,Loaded: (PH_1)
MessageRailgunCantTargetMyMap,Cannot target your own map.,MessageRailgunCantTargetMyMap,Rimatomics.xml,keyed,Cannot target your own map.
needsRadar,Needs TACS,needsRadar,Rimatomics.xml,keyed,Needs TACS
ICBMNeedConsole,Requires a manned SACS weapon console,ICBMNeedConsole,Rimatomics.xml,keyed,Requires a manned SACS weapon console
ICBMNeedMissile,A missile is required for launch,ICBMNeedMissile,Rimatomics.xml,keyed,A missile is required for launch
ICBMAlreadyLaunching,Already Launching,ICBMAlreadyLaunching,Rimatomics.xml,keyed,Already Launching
MissileRangeBad,Target not within range,MissileRangeBad,Rimatomics.xml,keyed,Target not within range
MissileTargetInvalid,Missile target is not valid,MissileTargetInvalid,Rimatomics.xml,keyed,Missile target is not valid
EnergyWeaponNeedsMannedConsole,Requires a manned weapons console,EnergyWeaponNeedsMannedConsole,Rimatomics.xml,keyed,Requires a manned weapons console
EnergyWeaponNeedConsole,Weapons console connection required,EnergyWeaponNeedConsole,Rimatomics.xml,keyed,Weapons console connection required
MissingPPC,Missing Pulsed Power Container,MissingPPC,Rimatomics.xml,keyed,Missing Pulsed Power Container
PulseSize,Pulse: {0} Wd / Damage: {1},PulseSize,Rimatomics.xml,keyed,Pulse: (PH_2) Wd / Damage: (PH_1)
critCommandFireMission,Fire Mission,critCommandFireMission,Rimatomics.xml,keyed,Fire Mission
critCommandFireMissionDesc,Long range artillery shot,critCommandFireMissionDesc,Rimatomics.xml,keyed,Long range artillery shot
criticbmAttack,"The enemy faction {0} are preparing to launch a missile attack from a nearby base, you have {1} days before launch.",criticbmAttack,Rimatomics.xml,keyed,"The enemy faction (PH_2) are preparing to launch a missile attack from a nearby base, you have (PH_1) days before launch."
critMagazine,Magazine: {0},critMagazine,Rimatomics.xml,keyed,Magazine: (PH_1)
critNoSabotRounds,No Sabot ammunition,critNoSabotRounds,Rimatomics.xml,keyed,No Sabot ammunition
SiloMissingPart,Requires part: {0},SiloMissingPart,Rimatomics.xml,keyed,Requires part: (PH_1)
critBombDet,The bomb has detonated,critBombDet,Rimatomics.xml,keyed,The bomb has detonated
critBombDetFac,The bomb detonated and the {0} has been destroyed,critBombDetFac,Rimatomics.xml,keyed,The bomb detonated and the (PH_1) has been destroyed
SetCamoMode,Set Camo,SetCamoMode,Rimatomics.xml,keyed,Set Camo
critCountdown,Countdown: {0},critCountdown,Rimatomics.xml,keyed,Countdown: (PH_1)
critArm,Arm,critArm,Rimatomics.xml,keyed,Arm
MessageRailgunNeedsMap,"Map not generated, send colonists to scout",MessageRailgunNeedsMap,Rimatomics.xml,keyed,"Map not generated, send colonists to scout"
MessageRailgunTargetInvalid,Target is not valid,MessageRailgunTargetInvalid,Rimatomics.xml,keyed,Target is not valid
