key,text,tag,file,type
WallUtilities.Report.NoRoof,Space in front of heater must be under a roof.,WallUtilities.Report.NoRoof,owlchemist.wallutilities.xml,keyed
WallUtilities.Report.FreeSpace,"Space in front of heater must not be a wall, door, or other heater.",WallUtilities.Report.FreeSpace,owlchemist.wallutilities.xml,keyed
WallUtilities.Report.Blueprints,Cannot be placed on blueprints.,WallUtilities.Report.Blueprints,owlchemist.wallutilities.xml,keyed
WallUtilities.Report.ByWall,Must be placed next to wall.,WallUtilities.Report.ByWall,owlchemist.wallutilities.xml,keyed
WallUtilities.Report.OnFence,Must be placed along a fence.,WallUtilities.Report.OnFence,owlchemist.wallutilities.xml,keyed
WallUtilities.Report.OnWall,Must be placed on a wall and facing a clear space.,WallUtilities.Report.OnWall,owlchemist.wallutilities.xml,keyed
FencepostLamps.label,remove fencepost lamps,label,CherryPicker.DefList/CherryPicker.DefList.xml,def
Owl_Fencepost_TorchLamp.label,fencepost torch,label,ThingDef/ThingDef.xml,def
Owl_Fencepost_TorchLamp.description,A wooden torch for lighting an area. People need light to move and work at full speed. Can be automatically refueled with wood. Produces a small amount of heat.,description,ThingDef/ThingDef.xml,def
Owl_Fencepost_Chemlamp.label,fencepost chemlamp,label,ThingDef/ThingDef.xml,def
Owl_Fencepost_Chemlamp.description,"A lamp fueled by chemfuel, and can be safely placed outside.",description,ThingDef/ThingDef.xml,def
Owl_Fencepost_Lamp.label,fencepost lamp,label,ThingDef/ThingDef.xml,def
Owl_Fencepost_Lamp.description,An electrical standing lamp that lights an area. People need light to move and work at full speed.,description,ThingDef/ThingDef.xml,def
Owl_Heater.label,mounted heater,label,ThingDef/ThingDef.xml,def
Owl_Heater.description,A wall mounted device that converts electricity into heat. It can automatically turn itself on or off to reach a specific target temperature.,description,ThingDef/ThingDef.xml,def
