key,text,tag,file,type
Animal_Reaction.label,animal reaction,label,InteractionDef/InteractionDef.xml,def
Animal_Reaction.logRulesInitiator.rulesStrings.0,r_logentry->*stares [stare_adv]at [RECIPIENT_nameDef]*,li,InteractionDef/InteractionDef.xml,def
Animal_Reaction.logRulesInitiator.rulesStrings.1,r_logentry(INITIATOR_kind==husky)->[dog],li,InteractionDef/InteractionDef.xml,def
Animal_Reaction.logRulesInitiator.rulesStrings.2,r_logentry(INITIATOR_kind==labrador retriever)->[dog],li,InteractionDef/InteractionDef.xml,def
Animal_Reaction.logRulesInitiator.rulesStrings.3,r_logentry(INITIATOR_kind==yorkshire terrier)->[dog],li,InteractionDef/InteractionDef.xml,def
Animal_Reaction.logRulesInitiator.rulesStrings.4,dog->*barks*,li,InteractionDef/InteractionDef.xml,def
Animal_Reaction.logRulesInitiator.rulesStrings.5,dog->*barks twice*,li,InteractionDef/InteractionDef.xml,def
Animal_Reaction.logRulesInitiator.rulesStrings.6,dog->*pants*,li,InteractionDef/InteractionDef.xml,def
Animal_Reaction.logRulesInitiator.rulesStrings.7,dog->*sits*,li,InteractionDef/InteractionDef.xml,def
Animal_Reaction.logRulesInitiator.rulesStrings.8,dog->*whines*,li,InteractionDef/InteractionDef.xml,def
Animal_Reaction.logRulesInitiator.rulesStrings.9,dog->*drools*,li,InteractionDef/InteractionDef.xml,def
Animal_Reaction.logRulesInitiator.rulesStrings.10,stare_adv->,li,InteractionDef/InteractionDef.xml,def
Animal_Reaction.logRulesInitiator.rulesStrings.11,stare_adv->attentively,li,InteractionDef/InteractionDef.xml,def
Animal_Reaction.logRulesInitiator.rulesStrings.12,stare_adv->thoughtfully,li,InteractionDef/InteractionDef.xml,def
Animal_Reaction.logRulesInitiator.rulesStrings.13,stare_adv->watchfully,li,InteractionDef/InteractionDef.xml,def
Animal_Reaction.logRulesInitiator.rulesStrings.14,stare_adv->obligingly,li,InteractionDef/InteractionDef.xml,def
Animal_Reaction.logRulesInitiator.rulesStrings.15,stare_adv->faithfully,li,InteractionDef/InteractionDef.xml,def
Animal_Reaction.logRulesInitiator.rulesStrings.16,stare_adv->caringly,li,InteractionDef/InteractionDef.xml,def
Animal_Reaction.logRulesInitiator.rulesStrings.17,stare_adv->devotedly,li,InteractionDef/InteractionDef.xml,def
Animal_Reaction.logRulesInitiator.rulesStrings.18,stare_adv->fixedly,li,InteractionDef/InteractionDef.xml,def
Animal_Reaction.logRulesInitiator.rulesStrings.19,stare_adv->dutifully,li,InteractionDef/InteractionDef.xml,def
Animal_Reaction.logRulesInitiator.rulesStrings.20,stare_adv->understandingly,li,InteractionDef/InteractionDef.xml,def
Animal_Reaction.logRulesInitiator.rulesStrings.21,stare_adv->responsively,li,InteractionDef/InteractionDef.xml,def
Animal_Reaction.logRulesInitiator.rulesStrings.22,stare_adv->cheerfully,li,InteractionDef/InteractionDef.xml,def
Animal_Reaction.logRulesInitiator.rulesStrings.23,stare_adv->dutifully,li,InteractionDef/InteractionDef.xml,def
Animal_Reaction.logRulesInitiator.rulesStrings.24,stare_adv->charmingly,li,InteractionDef/InteractionDef.xml,def
Animal_Reaction.logRulesInitiator.rulesStrings.25,stare_adv->chummily,li,InteractionDef/InteractionDef.xml,def
Animal_Reaction.logRulesInitiator.rulesStrings.26,stare_adv->engagingly,li,InteractionDef/InteractionDef.xml,def
Joke_00.label,joke — 00,label,InteractionDef/InteractionDef.xml,def
Joke_00.logRulesInitiator.rulesStrings.0,r_logentry(INITIATOR_opinion<0)->...,li,InteractionDef/InteractionDef.xml,def
Joke_00.logRulesInitiator.rulesStrings.1,"r_logentry(INITIATOR_opinion>=0,tag=Joke_00b)->[good_opinion]",li,InteractionDef/InteractionDef.xml,def
Joke_00.logRulesInitiator.rulesStrings.2,"good_opinion->What, [recipient]?",li,InteractionDef/InteractionDef.xml,def
Joke_00b.label,joke — 00b,label,InteractionDef/InteractionDef.xml,def
Joke_00b.logRulesInitiator.rulesStrings.0,r_logentry(tag=JokeReaction)->This tastes a little funny!,li,InteractionDef/InteractionDef.xml,def
Joke_01.label,joke — 01,label,InteractionDef/InteractionDef.xml,def
Joke_01.logRulesInitiator.rulesStrings.0,r_logentry(INITIATOR_opinion<0)->...,li,InteractionDef/InteractionDef.xml,def
Joke_01.logRulesInitiator.rulesStrings.1,"r_logentry(INITIATOR_opinion>=0,tag=Joke_01b)->[good_opinion]",li,InteractionDef/InteractionDef.xml,def
Joke_01.logRulesInitiator.rulesStrings.2,"good_opinion->Why, [recipient]?",li,InteractionDef/InteractionDef.xml,def
Joke_01b.label,joke — 01b,label,InteractionDef/InteractionDef.xml,def
Joke_01b.logRulesInitiator.rulesStrings.0,r_logentry(tag=JokeReaction)->They always take things literally!,li,InteractionDef/InteractionDef.xml,def
Joke_02.label,joke — 02,label,InteractionDef/InteractionDef.xml,def
Joke_02.logRulesInitiator.rulesStrings.0,r_logentry(INITIATOR_opinion<0)->...,li,InteractionDef/InteractionDef.xml,def
Joke_02.logRulesInitiator.rulesStrings.1,"r_logentry(INITIATOR_opinion>=0,tag=Joke_02b)->[good_opinion]",li,InteractionDef/InteractionDef.xml,def
Joke_02.logRulesInitiator.rulesStrings.2,"good_opinion->No, what about [him_her]?",li,InteractionDef/InteractionDef.xml,def
Joke_02.logRulesInitiator.rulesStrings.3,him_her->him,li,InteractionDef/InteractionDef.xml,def
Joke_02.logRulesInitiator.rulesStrings.4,him_her->her,li,InteractionDef/InteractionDef.xml,def
Joke_02b.label,joke — 02b,label,InteractionDef/InteractionDef.xml,def
Joke_02b.logRulesInitiator.rulesStrings.0,r_logentry(tag=JokeReaction)->He'll stop at nothing to avoid them!,li,InteractionDef/InteractionDef.xml,def
Joke_03.label,joke — 03,label,InteractionDef/InteractionDef.xml,def
