key,text,tag,file,type,protected_text
AM.ModTitle,Epicguru's Melee Animation,AM.ModTitle,Keys.xml,keyed,Epicguru's Melee Animation
AM.LoadingText,Loading Melee Animation,AM.LoadingText,Keys.xml,keyed,Loading Melee Animation
AM.Animation,Animation,AM.Animation,Keys.xml,keyed,Animation
AM.Error.Grapple.FloatMenu,Cannot lasso: {0},AM.Error.Grapple.FloatMenu,Keys.xml,keyed,Cannot lasso: (PH_1)
AM.Grapple.FloatMenu,Lasso {0},AM.Grapple.FloatMenu,Keys.xml,keyed,Lasso (PH_1)
AM.Grapple.FloatMenu.Tip,Use a lasso to pull {1} towards {0}.\nThis does not harm {1}.,AM.Grapple.FloatMenu.Tip,Keys.xml,keyed,Use a lasso to pull (PH_4) towards (PH_3).(PH_2)This does not harm (PH_1).
AM.Grapple.FloatMenu.TipEnemy,"Use a lasso to pull {1} towards {0}.\nThis does not harm {1}, but it does put them into melee/execution range.",AM.Grapple.FloatMenu.TipEnemy,Keys.xml,keyed,"Use a lasso to pull (PH_4) towards (PH_3).(PH_2)This does not harm (PH_1), but it does put them into melee/execution range."
AM.Exec.FloatMenu,Execute {0},AM.Exec.FloatMenu,Keys.xml,keyed,Execute (PH_1)
AM.Exec.FloatMenu.Tip,"Perform an execution animation on {1}.\nPossible outcomes based on weapon, melee skill, armor, mod settings etc:\n{2}",AM.Exec.FloatMenu.Tip,Keys.xml,keyed,"Perform an execution animation on (PH_4).(PH_3)Possible outcomes based on weapon, melee skill, armor, mod settings etc:(PH_2)(PH_1)"
AM.Exec.FloatMenu.Walk,(walk to target),AM.Exec.FloatMenu.Walk,Keys.xml,keyed,(walk to target)
AM.Exec.FloatMenu.Lasso,(lasso),AM.Exec.FloatMenu.Lasso,Keys.xml,keyed,(lasso)
AM.Error.Grapple.Internal,Int.Error: {Error},AM.Error.Grapple.Internal,Keys.xml,keyed,Int.Error: (PH_1)
AM.Error.Grapple.AlreadyAtTarget,{Target} is already in melee range,AM.Error.Grapple.AlreadyAtTarget,Keys.xml,keyed,(PH_1) is already in melee range
AM.ProbReport.Kill,Kill,AM.ProbReport.Kill,Keys.xml,keyed,Kill
AM.ProbReport.Down,Down,AM.ProbReport.Down,Keys.xml,keyed,Down
