key,text,tag,file,type
YayoAnim_OnlyPlayerPawns,Only player pawn animations,YayoAnim_OnlyPlayerPawns,Keys.xml,keyed
YayoAnim_OnlyPlayerPawnsTooltip,"Prevents any pawn (be it human, animal, or mechanoid) from having any animations unless they're from player's faction.",YayoAnim_OnlyPlayerPawnsTooltip,Keys.xml,keyed
YayoAnim_UpdateFrequency,Update frequency (in ticks),YayoAnim_UpdateFrequency,Keys.xml,keyed
YayoAnim_MaximumZoomLevel,Maximum zoom level: {0},YayoAnim_MaximumZoomLevel,Keys.xml,keyed
YayoAnim_MaximumZoomLevelTooltip,"Determines maximum zoom level at which the animations will play. If you zoom beyond it, the animations will stop playing.",YayoAnim_MaximumZoomLevelTooltip,Keys.xml,keyed
YayoAnim_MaximumZoomLevel_Closest,Closest,YayoAnim_MaximumZoomLevel_Closest,Keys.xml,keyed
YayoAnim_MaximumZoomLevel_Close,Close,YayoAnim_MaximumZoomLevel_Close,Keys.xml,keyed
YayoAnim_MaximumZoomLevel_Middle,Middle,YayoAnim_MaximumZoomLevel_Middle,Keys.xml,keyed
YayoAnim_MaximumZoomLevel_Far,Far,YayoAnim_MaximumZoomLevel_Far,Keys.xml,keyed
YayoAnim_MaximumZoomLevel_Furthest,Any zoom level,YayoAnim_MaximumZoomLevel_Furthest,Keys.xml,keyed
YayoAnim_Walk,Walking animations,YayoAnim_Walk,Keys.xml,keyed
YayoAnim_WalkAnimSpeed,Walking motion speed,YayoAnim_WalkAnimSpeed,Keys.xml,keyed
YayoAnim_WalkAnimAngle,Walking motion angle,YayoAnim_WalkAnimAngle,Keys.xml,keyed
YayoAnim_Combat,Combat animations,YayoAnim_Combat,Keys.xml,keyed
YayoAnim_TwirlWeapon,Weapon twirling,YayoAnim_TwirlWeapon,Keys.xml,keyed
YayoAnim_TwirlWeaponMaxMassEnabled,Disable weapon twirling for weapons over specific mass,YayoAnim_TwirlWeaponMaxMassEnabled,Keys.xml,keyed
YayoAnim_TwirlWeaponMaxMass,Max weapon mass for twirling,YayoAnim_TwirlWeaponMaxMass,Keys.xml,keyed
YayoAnim_AllJobs,All work animations,YayoAnim_AllJobs,Keys.xml,keyed
YayoAnim_Sleep,Sleeping animations,YayoAnim_Sleep,Keys.xml,keyed
YayoAnim_LovinBed,Lovin' animations,YayoAnim_LovinBed,Keys.xml,keyed
YayoAnim_MechanoidWalk,Mechanoid walking animations,YayoAnim_MechanoidWalk,Keys.xml,keyed
YayoAnim_MechanoidJob,Mechanoid work animations,YayoAnim_MechanoidJob,Keys.xml,keyed
YayoAnim_MechanoidCombat,Mechanoid combat animations,YayoAnim_MechanoidCombat,Keys.xml,keyed
YayoAnim_AnimalWalk,Animal walking animations,YayoAnim_AnimalWalk,Keys.xml,keyed
YayoAnim_AnimalJob,Animal work animations,YayoAnim_AnimalJob,Keys.xml,keyed
YayoAnim_AnimalCombat,Animal combat animations,YayoAnim_AnimalCombat,Keys.xml,keyed
YayoAnim_RequiresWalkTooltip,Requires walking animations to be enabled as well,YayoAnim_RequiresWalkTooltip,Keys.xml,keyed
YayoAnim_RequiresJobTooltip,Requires all work animations to be anbled as well,YayoAnim_RequiresJobTooltip,Keys.xml,keyed
YayoAnim_RequiresCombatTooltip,Requires combat animations to be enabled as well,YayoAnim_RequiresCombatTooltip,Keys.xml,keyed
YayoAnim_DebugMode,Debug mode,YayoAnim_DebugMode,Keys.xml,keyed
YayoAnim_ResetToDefault,Reset to default,YayoAnim_ResetToDefault,Keys.xml,keyed
