key,text,tag,file,type,protected_text
Animal_Reaction.label,animal reaction,label,animals.xml,def,animal reaction
Animal_Reaction.logRulesInitiator.rulesStrings.0,r_logentry->*stares [stare_adv]at [RECIPIENT_nameDef]*,li,animals.xml,def,<ALIMT >(PH_3)</ALIMT>*stares <ALIMT >(PH_2)</ALIMT>at <ALIMT >(PH_1)</ALIMT>*
Animal_Reaction.logRulesInitiator.rulesStrings.1,r_logentry(INITIATOR_kind==husky)->[dog],li,animals.xml,def,<ALIMT >(PH_2)</ALIMT>-><ALIMT >(PH_1)</ALIMT>
Animal_Reaction.logRulesInitiator.rulesStrings.2,r_logentry(INITIATOR_kind==labrador retriever)->[dog],li,animals.xml,def,<ALIMT >(PH_2)</ALIMT>-><ALIMT >(PH_1)</ALIMT>
Animal_Reaction.logRulesInitiator.rulesStrings.3,r_logentry(INITIATOR_kind==yorkshire terrier)->[dog],li,animals.xml,def,<ALIMT >(PH_2)</ALIMT>-><ALIMT >(PH_1)</ALIMT>
Animal_Reaction.logRulesInitiator.rulesStrings.4,dog->*barks*,li,animals.xml,def,<ALIMT >(PH_1)</ALIMT>*barks*
Animal_Reaction.logRulesInitiator.rulesStrings.5,dog->*barks twice*,li,animals.xml,def,<ALIMT >(PH_1)</ALIMT>*barks twice*
Animal_Reaction.logRulesInitiator.rulesStrings.6,dog->*pants*,li,animals.xml,def,<ALIMT >(PH_1)</ALIMT>*pants*
Animal_Reaction.logRulesInitiator.rulesStrings.7,dog->*sits*,li,animals.xml,def,<ALIMT >(PH_1)</ALIMT>*sits*
Animal_Reaction.logRulesInitiator.rulesStrings.8,dog->*whines*,li,animals.xml,def,<ALIMT >(PH_1)</ALIMT>*whines*
Animal_Reaction.logRulesInitiator.rulesStrings.9,dog->*drools*,li,animals.xml,def,<ALIMT >(PH_1)</ALIMT>*drools*
Animal_Reaction.logRulesInitiator.rulesStrings.10,stare_adv->,li,animals.xml,def,<ALIMT >(PH_1)</ALIMT>
Animal_Reaction.logRulesInitiator.rulesStrings.11,stare_adv->attentively,li,animals.xml,def,<ALIMT >(PH_1)</ALIMT>attentively
Animal_Reaction.logRulesInitiator.rulesStrings.12,stare_adv->thoughtfully,li,animals.xml,def,<ALIMT >(PH_1)</ALIMT>thoughtfully
Animal_Reaction.logRulesInitiator.rulesStrings.13,stare_adv->watchfully,li,animals.xml,def,<ALIMT >(PH_1)</ALIMT>watchfully
Animal_Reaction.logRulesInitiator.rulesStrings.14,stare_adv->obligingly,li,animals.xml,def,<ALIMT >(PH_1)</ALIMT>obligingly
Animal_Reaction.logRulesInitiator.rulesStrings.15,stare_adv->faithfully,li,animals.xml,def,<ALIMT >(PH_1)</ALIMT>faithfully
Animal_Reaction.logRulesInitiator.rulesStrings.16,stare_adv->caringly,li,animals.xml,def,<ALIMT >(PH_1)</ALIMT>caringly
Animal_Reaction.logRulesInitiator.rulesStrings.17,stare_adv->devotedly,li,animals.xml,def,<ALIMT >(PH_1)</ALIMT>devotedly
Animal_Reaction.logRulesInitiator.rulesStrings.18,stare_adv->fixedly,li,animals.xml,def,<ALIMT >(PH_1)</ALIMT>fixedly
Animal_Reaction.logRulesInitiator.rulesStrings.19,stare_adv->dutifully,li,animals.xml,def,<ALIMT >(PH_1)</ALIMT>dutifully
Animal_Reaction.logRulesInitiator.rulesStrings.20,stare_adv->understandingly,li,animals.xml,def,<ALIMT >(PH_1)</ALIMT>understandingly
Animal_Reaction.logRulesInitiator.rulesStrings.21,stare_adv->responsively,li,animals.xml,def,<ALIMT >(PH_1)</ALIMT>responsively
Animal_Reaction.logRulesInitiator.rulesStrings.22,stare_adv->cheerfully,li,animals.xml,def,<ALIMT >(PH_1)</ALIMT>cheerfully
Animal_Reaction.logRulesInitiator.rulesStrings.23,stare_adv->dutifully,li,animals.xml,def,<ALIMT >(PH_1)</ALIMT>dutifully
Animal_Reaction.logRulesInitiator.rulesStrings.24,stare_adv->charmingly,li,animals.xml,def,<ALIMT >(PH_1)</ALIMT>charmingly
Animal_Reaction.logRulesInitiator.rulesStrings.25,stare_adv->chummily,li,animals.xml,def,<ALIMT >(PH_1)</ALIMT>chummily
Animal_Reaction.logRulesInitiator.rulesStrings.26,stare_adv->engagingly,li,animals.xml,def,<ALIMT >(PH_1)</ALIMT>engagingly
Joke_00.label,joke — 00,label,chitchat_jokes.xml,def,joke — 00
Joke_00.logRulesInitiator.rulesStrings.0,r_logentry(INITIATOR_opinion<0)->...,li,chitchat_jokes.xml,def,<ALIMT >(PH_1)</ALIMT>->...
Joke_00.logRulesInitiator.rulesStrings.1,"r_logentry(INITIATOR_opinion>=0,tag=Joke_00b)->[good_opinion]",li,chitchat_jokes.xml,def,<ALIMT >(PH_2)</ALIMT>-><ALIMT >(PH_1)</ALIMT>
Joke_00.logRulesInitiator.rulesStrings.2,"good_opinion->What, [recipient]?",li,chitchat_jokes.xml,def,"<ALIMT >(PH_2)</ALIMT>What, <ALIMT >(PH_1)</ALIMT>?"
Joke_00b.label,joke — 00b,label,chitchat_jokes.xml,def,joke — 00b
Joke_00b.logRulesInitiator.rulesStrings.0,r_logentry(tag=JokeReaction)->This tastes a little funny!,li,chitchat_jokes.xml,def,<ALIMT >(PH_1)</ALIMT>->This tastes a little funny!
Joke_01.label,joke — 01,label,chitchat_jokes.xml,def,joke — 01
Joke_01.logRulesInitiator.rulesStrings.0,r_logentry(INITIATOR_opinion<0)->...,li,chitchat_jokes.xml,def,<ALIMT >(PH_1)</ALIMT>->...
Joke_01.logRulesInitiator.rulesStrings.1,"r_logentry(INITIATOR_opinion>=0,tag=Joke_01b)->[good_opinion]",li,chitchat_jokes.xml,def,<ALIMT >(PH_2)</ALIMT>-><ALIMT >(PH_1)</ALIMT>
Joke_01.logRulesInitiator.rulesStrings.2,"good_opinion->Why, [recipient]?",li,chitchat_jokes.xml,def,"<ALIMT >(PH_2)</ALIMT>Why, <ALIMT >(PH_1)</ALIMT>?"
Joke_01b.label,joke — 01b,label,chitchat_jokes.xml,def,joke — 01b
Joke_01b.logRulesInitiator.rulesStrings.0,r_logentry(tag=JokeReaction)->They always take things literally!,li,chitchat_jokes.xml,def,<ALIMT >(PH_1)</ALIMT>->They always take things literally!
Joke_02.label,joke — 02,label,chitchat_jokes.xml,def,joke — 02
Joke_02.logRulesInitiator.rulesStrings.0,r_logentry(INITIATOR_opinion<0)->...,li,chitchat_jokes.xml,def,<ALIMT >(PH_1)</ALIMT>->...
Joke_02.logRulesInitiator.rulesStrings.1,"r_logentry(INITIATOR_opinion>=0,tag=Joke_02b)->[good_opinion]",li,chitchat_jokes.xml,def,<ALIMT >(PH_2)</ALIMT>-><ALIMT >(PH_1)</ALIMT>
Joke_02.logRulesInitiator.rulesStrings.2,"good_opinion->No, what about [him_her]?",li,chitchat_jokes.xml,def,"<ALIMT >(PH_2)</ALIMT>No, what about <ALIMT >(PH_1)</ALIMT>?"
Joke_02.logRulesInitiator.rulesStrings.3,him_her->him,li,chitchat_jokes.xml,def,<ALIMT >(PH_1)</ALIMT>him
Joke_02.logRulesInitiator.rulesStrings.4,him_her->her,li,chitchat_jokes.xml,def,<ALIMT >(PH_1)</ALIMT>her
Joke_02b.label,joke — 02b,label,chitchat_jokes.xml,def,joke — 02b
Joke_02b.logRulesInitiator.rulesStrings.0,r_logentry(tag=JokeReaction)->He'll stop at nothing to avoid them!,li,chitchat_jokes.xml,def,<ALIMT >(PH_1)</ALIMT>->He'll <ALIMT >stop</ALIMT> at nothing to avoid them!
Joke_03.label,joke — 03,label,chitchat_jokes.xml,def,joke — 03
Joke_03.logRulesInitiator.rulesStrings.0,r_logentry(INITIATOR_opinion<0)->...,li,chitchat_jokes.xml,def,<ALIMT >(PH_1)</ALIMT>->...
Joke_03.logRulesInitiator.rulesStrings.1,"r_logentry(INITIATOR_opinion>=0,tag=Joke_03b)->[good_opinion]",li,chitchat_jokes.xml,def,<ALIMT >(PH_2)</ALIMT>-><ALIMT >(PH_1)</ALIMT>
Joke_03.logRulesInitiator.rulesStrings.2,good_opinion->Why wouldn't they?,li,chitchat_jokes.xml,def,<ALIMT >(PH_1)</ALIMT>Why wouldn't they?
Joke_03b.label,joke — 03b,label,chitchat_jokes.xml,def,joke — 03b
Joke_03b.logRulesInitiator.rulesStrings.0,r_logentry(tag=JokeReaction)->Because they make up everything!,li,chitchat_jokes.xml,def,<ALIMT >(PH_1)</ALIMT>->Because they make up everything!
Joke_04.label,joke — 04,label,chitchat_jokes.xml,def,joke — 04
Joke_04.logRulesInitiator.rulesStrings.0,r_logentry(INITIATOR_opinion<0)->...,li,chitchat_jokes.xml,def,<ALIMT >(PH_1)</ALIMT>->...
Joke_04.logRulesInitiator.rulesStrings.1,"r_logentry(INITIATOR_opinion>=0,tag=Joke_04b)->[good_opinion]",li,chitchat_jokes.xml,def,<ALIMT >(PH_2)</ALIMT>-><ALIMT >(PH_1)</ALIMT>
Joke_04.logRulesInitiator.rulesStrings.2,"good_opinion->Rich? How, [recipient]? That job can't have paid well...",li,chitchat_jokes.xml,def,"<ALIMT >(PH_2)</ALIMT>Rich? How, <ALIMT >(PH_1)</ALIMT>? That job can't have paid well..."
Joke_04b.label,joke — 04b,label,chitchat_jokes.xml,def,joke — 04b
Joke_04b.logRulesInitiator.rulesStrings.0,"r_logentry(tag=JokeReaction)->No, but the tips were enormous!",li,chitchat_jokes.xml,def,"<ALIMT >(PH_1)</ALIMT>->No, but the tips were enormous!"
Joke_05.label,joke — 05,label,chitchat_jokes.xml,def,joke — 05
Joke_05.logRulesInitiator.rulesStrings.0,r_logentry(INITIATOR_opinion<0)->...,li,chitchat_jokes.xml,def,<ALIMT >(PH_1)</ALIMT>->...
Joke_05.logRulesInitiator.rulesStrings.1,"r_logentry(INITIATOR_opinion>=0,tag=Joke_05b)->[good_opinion]",li,chitchat_jokes.xml,def,<ALIMT >(PH_2)</ALIMT>-><ALIMT >(PH_1)</ALIMT>
Joke_05.logRulesInitiator.rulesStrings.2,"good_opinion->What is it, [recipient]?",li,chitchat_jokes.xml,def,"<ALIMT >(PH_2)</ALIMT>What is it, <ALIMT >(PH_1)</ALIMT>?"
Joke_05b.label,joke — 05b,label,chitchat_jokes.xml,def,joke — 05b
Joke_05b.logRulesInitiator.rulesStrings.0,r_logentry(tag=JokeReaction)->A nervous wreck!,li,chitchat_jokes.xml,def,<ALIMT >(PH_1)</ALIMT>->A nervous wreck!
Joke_06.label,joke — 06,label,chitchat_jokes.xml,def,joke — 06
Joke_06.logRulesInitiator.rulesStrings.0,r_logentry(INITIATOR_opinion<0)->...,li,chitchat_jokes.xml,def,<ALIMT >(PH_1)</ALIMT>->...
Joke_06.logRulesInitiator.rulesStrings.1,"r_logentry(INITIATOR_opinion>=0,tag=Joke_06b)->[good_opinion]",li,chitchat_jokes.xml,def,<ALIMT >(PH_2)</ALIMT>-><ALIMT >(PH_1)</ALIMT>
Joke_06.logRulesInitiator.rulesStrings.2,"good_opinion->No, [recipient] — what happened to them?",li,chitchat_jokes.xml,def,"<ALIMT >(PH_2)</ALIMT>No, <ALIMT >(PH_1)</ALIMT> — what happened to them?"
Joke_06b.label,joke — 06b,label,chitchat_jokes.xml,def,joke — 06b
Joke_06b.logRulesInitiator.rulesStrings.0,r_logentry(tag=JokeReaction)->They each got six months!,li,chitchat_jokes.xml,def,<ALIMT >(PH_1)</ALIMT>->They each got six months!
