key,text,tag,file,type,protected_text,translated
AM.ModTitle,Epicguru's Melee Animation,AM.ModTitle,Keys.xml,keyed,Epicguru's Melee Animation,Epiguru 的近战动画
AM.LoadingText,Loading Melee Animation,AM.LoadingText,Keys.xml,keyed,Loading Melee Animation,加载近战动画
AM.Animation,Animation,AM.Animation,Keys.xml,keyed,Animation,动画片
AM.Error.Grapple.FloatMenu,Cannot lasso: {0},AM.Error.Grapple.FloatMenu,Keys.xml,keyed,Cannot lasso: (PH_1),无法 套索：{0}
AM.Grapple.FloatMenu,Lasso {0},AM.Grapple.FloatMenu,Keys.xml,keyed,Lasso (PH_1),套索 {0}
AM.Grapple.FloatMenu.Tip,Use a lasso to pull {1} towards {0}.\nThis does not harm {1}.,AM.Grapple.FloatMenu.Tip,Keys.xml,keyed,Use a lasso to pull (PH_4) towards (PH_3).(PH_2)This does not harm (PH_1).,"使用 套索 将 {1} 拉向 {0}。
这不会伤害 {1}。"
AM.Grapple.FloatMenu.TipEnemy,"Use a lasso to pull {1} towards {0}.\nThis does not harm {1}, but it does put them into melee/execution range.",AM.Grapple.FloatMenu.TipEnemy,Keys.xml,keyed,"Use a lasso to pull (PH_4) towards (PH_3).(PH_2)This does not harm (PH_1), but it does put them into melee/execution range.","使用套索将{1}拉向{0}。
这不会伤害{1}，但确实会将它们置于近战/处决范围内。"
AM.Exec.FloatMenu,Execute {0},AM.Exec.FloatMenu,Keys.xml,keyed,Execute (PH_1),执行{0}
AM.Exec.FloatMenu.Tip,"Perform an execution animation on {1}.\nPossible outcomes based on weapon, melee skill, armor, mod settings etc:\n{2}",AM.Exec.FloatMenu.Tip,Keys.xml,keyed,"Perform an execution animation on (PH_4).(PH_3)Possible outcomes based on weapon, melee skill, armor, mod settings etc:(PH_2)(PH_1)","在 {1} 上执行执行动画。
基于武器、近战技能、盔甲、模组设置等的可能结果：
{2}"
AM.Exec.FloatMenu.Walk,(walk to target),AM.Exec.FloatMenu.Walk,Keys.xml,keyed,(walk to target),（步行至目标）
AM.Exec.FloatMenu.Lasso,(lasso),AM.Exec.FloatMenu.Lasso,Keys.xml,keyed,(lasso),(套索)
AM.Error.Grapple.Internal,Int.Error: {Error},AM.Error.Grapple.Internal,Keys.xml,keyed,Int.Error: (PH_1),内部错误：{Error}
AM.Error.Grapple.AlreadyAtTarget,{Target} is already in melee range,AM.Error.Grapple.AlreadyAtTarget,Keys.xml,keyed,(PH_1) is already in melee range,{Target} 已处于近战范围内
AM.ProbReport.Kill,Kill,AM.ProbReport.Kill,Keys.xml,keyed,Kill,杀
AM.ProbReport.Down,Down,AM.ProbReport.Down,Keys.xml,keyed,Down,向下
AM.ProbReport.Injure,Injure,AM.ProbReport.Injure,Keys.xml,keyed,Injure,损伤
AM.ProbReport.Fail,Fail,AM.ProbReport.Fail,Keys.xml,keyed,Fail,失败
AM.Error.Duel.Internal,Int.Error: {Error},AM.Error.Duel.Internal,Keys.xml,keyed,Int.Error: (PH_1),内部错误：{Error}
AM.Error.Duel.Dead,{Pawn} is dead,AM.Error.Duel.Dead,Keys.xml,keyed,(PH_1) is dead,{Pawn} 已死亡
AM.Error.Duel.Down,{Pawn} is downed,AM.Error.Duel.Down,Keys.xml,keyed,(PH_1) is downed,{Pawn} 已被击落
AM.Error.Duel.NotSpawned,{Pawn} cannot be dueled right now,AM.Error.Duel.NotSpawned,Keys.xml,keyed,(PH_1) cannot be dueled right now,{Pawn} 现在无法决斗
AM.Error.Duel.NotSpawned.Short,{Pawn} is not available,AM.Error.Duel.NotSpawned.Short,Keys.xml,keyed,(PH_1) is not available,{Pawn} 不可用
AM.Error.Duel.MissingWeapon,{Pawn} does not have a valid melee weapon,AM.Error.Duel.MissingWeapon,Keys.xml,keyed,(PH_1) does not have a valid melee weapon,{Pawn} 没有有效的近战武器
AM.Error.Duel.NoAnim,The weapon(s) these pawns are carrying cannot be used to duel with.,AM.Error.Duel.NoAnim,Keys.xml,keyed,The (PH_1) these pawns are carrying cannot be used to duel with.,这些棋子携带的weapon(s)不能用于决斗。
AM.Error.Duel.NoAnim.Short,These melee weapons cannot be used to duel,AM.Error.Duel.NoAnim.Short,Keys.xml,keyed,These melee weapons cannot be used to duel,这些近战武器不能用于决斗
AM.Error.Duel.NoPath,{0} cannot reach {1} to start a duel,AM.Error.Duel.NoPath,Keys.xml,keyed,(PH_2) cannot reach (PH_1) to start a duel,{0} 无法到达 {1} 开始决斗
AM.Error.Duel.OnCooldown,{0}'s duel is on cooldown,AM.Error.Duel.OnCooldown,Keys.xml,keyed,(PH_1)'s duel is on cooldown,{0}的决斗正在冷却中
AM.Error.Duel.WaitedTooLong,"{0} got tired of waiting for {1} to arrive to their duel, and called it off.",AM.Error.Duel.WaitedTooLong,Keys.xml,keyed,"(PH_2) got tired of waiting for (PH_1) to arrive to their duel, and called it off.",{0} 厌倦了等待 {1} 到达决斗场，因此取消了比赛。
AM.Gizmos.DuelSpot.StartDuel.Label,Start duel,AM.Gizmos.DuelSpot.StartDuel.Label,Keys.xml,keyed,Start duel,开始决斗
AM.Gizmos.DuelSpot.StartDuel.Desc,"Manually start a duel between two friendly pawns with valid weapons. Prisoners cannot participate.\n\nThis is a friendly duel, nobody will be hurt.",AM.Gizmos.DuelSpot.StartDuel.Desc,Keys.xml,keyed,"Manually start a duel between two friendly pawns with valid weapons. Prisoners cannot participate.(PH_2)(PH_1)This is a friendly duel, nobody will be hurt.","使用有效武器手动开始两个友方棋子之间的决斗。囚犯不能参加。

这是一场友好的决斗，没有人会受伤。"
AM.Gizmos.DuelSpot.StartDuel.InUse,The duel spot is currently in use,AM.Gizmos.DuelSpot.StartDuel.InUse,Keys.xml,keyed,The duel spot is currently in use,决斗场地目前正在使用中
