wrong,right
INITIATOR_artistic_激情,INITIATOR_artistic_passion
INITIATOR_animals_激情,INITIATOR_animals_passion
INITIATOR_social_激情,INITIATOR_social_passion
INITIATOR_construction_激情,INITIATOR_construction_passion
INITIATOR_shooting_激情,INITIATOR_shooting_passion
INITIATOR_melee_激情,INITIATOR_melee_passion
INITIATOR_plants_激情,INITIATOR_plants_passion
INITIATOR_cooking_激情,INITIATOR_cooking_passion
INITIATOR_crafting_激情,INITIATOR_crafting_passion
INITIATOR_intellectual_激情,INITIATOR_intellectual_passion
INITIATOR_medical_激情,INITIATOR_medical_passion
INITIATOR_mining_激情,INITIATOR_mining_passion
[no_art_激情],[no_art_passion]
no_art_激情(,no_art_passion(
no_art_激情->,no_art_passion->
no_art_激情-&gt;,no_art_passion-&gt;
[no_激情],[no_passion]
no_激情(,no_passion(
no_激情->,no_passion->
no_激情-&gt;,no_passion-&gt;
INITIATOR_thoughtDefName==疼痛,INITIATOR_thoughtDefName==Pain
[good_opinion_疼痛],[good_opinion_pain]
both_疼痛(,both_pain(
i_疼痛(,i_pain(
good_opinion_疼痛(,good_opinion_pain(
[both_疼痛],[both_pain]
[i_疼痛],[i_pain]
